host,IP
h1,10.0.0.1/8
h2,10.49.150.16/8
h3,10.49.147.9/8
h4,10.221.47.173/8
h5,10.30.42.220/8
h6,10.8.108.133/8
h7,10.215.64.199/8
h8,10.6.158.199/8
h9,10.206.213.253/8
h10,10.85.89.0/8
h11,10.243.41.136/8
h12,10.30.42.210/8
h13,10.79.155.107/8
h14,10.212.91.48/8
h15,10.191.5.252/8
h16,10.3.21.230/8
h17,10.229.155.1/8
h18,10.163.116.67/8
h19,10.106.99.129/8
h20,10.175.82.194/8
h21,10.137.177.134/8
h22,10.18.184.171/8
h23,10.36.202.11/8
h24,10.199.60.108/8
h25,10.126.218.219/8
h26,10.209.48.178/8
h27,10.142.32.153/8
h28,10.185.67.39/8
h29,10.22.164.208/8
h30,10.201.182.195/8
h31,10.80.46.61/8
h32,10.115.31.133/8
h33,10.132.130.210/8
h34,10.125.13.133/8
h35,10.99.242.190/8
h36,10.113.182.95/8
h37,10.181.94.95/8
h38,10.151.15.70/8
h39,10.246.51.193/8
h40,10.189.59.180/8
h41,10.0.1.40/8
h42,10.38.55.254/8
h43,10.191.221.173/8
h44,10.100.57.250/8
h45,10.114.244.75/8
h46,10.90.198.163/8
h47,10.138.19.160/8
h48,10.132.218.169/8
h49,10.82.136.39/8
h50,10.254.9.102/8
h51,10.122.96.191/8
h52,10.49.95.0/8
h53,10.70.235.180/8
h54,10.153.31.246/8
h55,10.86.35.17/8
h56,10.50.59.250/8
h57,10.253.175.125/8
h58,10.226.169.70/8
h59,10.222.248.87/8
h60,10.250.124.179/8
h61,10.48.99.237/8
h62,10.181.240.44/8
h63,10.64.114.86/8
h64,10.224.167.4/8
h65,10.135.158.106/8
h66,10.75.68.92/8
h67,10.153.229.43/8
h68,10.183.243.161/8
h69,10.231.59.171/8
h70,10.75.128.210/8
h71,10.194.14.168/8
h72,10.100.111.244/8
h73,10.164.207.164/8
h74,10.3.164.28/8
h75,10.131.253.237/8
h76,10.194.151.111/8
h77,10.151.29.89/8
h78,10.121.22.193/8
h79,10.28.116.253/8
h80,10.187.27.14/8
