host,serverIP,port,duration,size,proto
h2,10.0.0.1,23525,17497,512,TCP Telnet
h3,10.0.0.1,15628,5799,512,TCP Telnet
h4,10.0.0.1,25455,8094,512,TCP Telnet
h5,10.0.0.1,39310,9016,512,TCP 
h6,10.0.0.1,58169,2461,512,TCP Telnet
h7,10.0.0.1,63971,17958,512,TCP Telnet
h8,10.0.0.1,31659,18272,512,TCP 
h9,10.0.0.1,55763,8007,512,TCP Telnet
h10,10.0.0.1,61694,19673,512,TCP 
h11,10.0.0.1,13967,15271,512,TCP Telnet
h12,10.0.0.1,22846,12250,512,TCP 
h13,10.0.0.1,22566,5865,512,TCP Telnet
h14,10.0.0.1,51213,4949,512,TCP 
h15,10.0.0.1,10255,9586,512,TCP 
h16,10.0.0.1,18042,12857,512,TCP 
h17,10.0.0.1,51359,16343,512,TCP 
h18,10.0.0.1,60854,10922,512,TCP 
h19,10.0.0.1,58268,8849,512,TCP 
h20,10.0.0.1,52370,4216,512,TCP 
h21,10.0.0.1,52899,1072,512,TCP Telnet
h22,10.0.0.1,42562,4519,512,TCP 
h23,10.0.0.1,63958,16006,512,TCP Telnet
h24,10.0.0.1,28028,4389,512,TCP Telnet
h25,10.0.0.1,15517,19282,512,TCP Telnet
h26,10.0.0.1,48175,15096,512,TCP 
h27,10.0.0.1,34831,5618,512,TCP Telnet
h28,10.0.0.1,11958,7118,512,TCP 
h29,10.0.0.1,40217,16126,512,TCP Telnet
h30,10.0.0.1,14604,12922,512,TCP Telnet
h31,10.0.0.1,25954,18657,512,TCP 
h32,10.0.0.1,46630,18548,512,TCP Telnet
h33,10.0.0.1,51073,19261,512,TCP 
h34,10.0.0.1,64832,8310,512,TCP 
h35,10.0.0.1,47945,17488,512,TCP 
h36,10.0.0.1,25717,9663,512,TCP 
h37,10.0.0.1,18714,5670,512,TCP Telnet
h38,10.0.0.1,60368,17393,512,TCP Telnet
h39,10.0.0.1,26224,17505,512,TCP 
h40,10.0.0.1,49962,16789,512,TCP Telnet
h41,10.0.0.1,15514,3239,512,TCP Telnet
h42,10.0.0.1,41310,19781,512,TCP 
h43,10.0.0.1,53537,19152,512,TCP 
h44,10.0.0.1,16209,9320,512,TCP Telnet
h45,10.0.0.1,27729,13464,512,TCP 
h46,10.0.0.1,39433,8698,512,TCP 
h47,10.0.0.1,56514,11284,512,TCP 
h48,10.0.0.1,38969,12301,512,TCP Telnet
h49,10.0.0.1,32453,13025,512,TCP 
h50,10.0.0.1,27625,10233,512,TCP 
h51,10.0.0.1,49312,12124,512,TCP Telnet
h52,10.0.0.1,30094,18154,512,TCP 
h53,10.0.0.1,39980,16521,512,TCP Telnet
h54,10.0.0.1,48283,17172,512,TCP Telnet
h55,10.0.0.1,23730,17405,512,TCP Telnet
h56,10.0.0.1,17230,16128,512,TCP Telnet
h57,10.0.0.1,24117,7557,512,TCP 
h58,10.0.0.1,48541,14479,512,TCP Telnet
h59,10.0.0.1,56719,13022,512,TCP Telnet
h60,10.0.0.1,61497,8685,512,TCP Telnet
h61,10.0.0.1,17167,10290,512,TCP 
h62,10.0.0.1,19942,14260,512,TCP Telnet
h63,10.0.0.1,25086,11997,512,TCP Telnet
h64,10.0.0.1,10155,12941,512,TCP 
h65,10.0.0.1,57886,6317,512,TCP Telnet
h66,10.0.0.1,32863,19395,512,TCP 
h67,10.0.0.1,38262,13976,512,TCP Telnet
h68,10.0.0.1,60427,7220,512,TCP Telnet
h69,10.0.0.1,29729,13302,512,TCP Telnet
h70,10.0.0.1,57358,6804,512,TCP Telnet
h71,10.0.0.1,13636,12731,512,TCP 
h72,10.0.0.1,59857,14072,512,TCP Telnet
h73,10.0.0.1,60673,13857,512,TCP Telnet
h74,10.0.0.1,45456,3735,512,TCP Telnet
h75,10.0.0.1,55412,1001,512,TCP Telnet
h76,10.0.0.1,53609,1348,512,TCP 
h77,10.0.0.1,41084,6536,512,TCP 
h78,10.0.0.1,52773,16273,512,TCP Telnet
h79,10.0.0.1,46478,11803,512,TCP Telnet
h80,10.0.0.1,15604,10187,512,TCP Telnet
