host,serverIP,port,duration,size,proto
h2,10.0.0.1,45158,9229,512,TCP 
h3,10.0.0.1,34477,11843,512,TCP Telnet
h4,10.0.0.1,54485,7540,512,TCP Telnet
h5,10.0.0.1,45139,1385,512,TCP 
h6,10.0.0.1,11835,8338,512,TCP Telnet
h7,10.0.0.1,37162,13062,512,TCP Telnet
h8,10.0.0.1,20362,11308,512,TCP 
h9,10.0.0.1,27203,3306,512,TCP Telnet
h10,10.0.0.1,45044,6523,512,TCP Telnet
h11,10.0.0.1,45053,15493,512,TCP 
h12,10.0.0.1,40487,13200,512,TCP Telnet
h13,10.0.0.1,19047,17125,512,TCP Telnet
h14,10.0.0.1,24002,17756,512,TCP Telnet
h15,10.0.0.1,10581,14444,512,TCP 
h16,10.0.0.1,21916,16121,512,TCP 
h17,10.0.0.1,25466,13461,512,TCP Telnet
h18,10.0.0.1,35322,3159,512,TCP Telnet
h19,10.0.0.1,64512,9586,512,TCP Telnet
h20,10.0.0.1,38641,7860,512,TCP 
h21,10.0.0.1,44536,7453,512,TCP Telnet
h22,10.0.0.1,42103,3657,512,TCP 
h23,10.0.0.1,39384,1142,512,TCP 
h24,10.0.0.1,41895,2311,512,TCP 
h25,10.0.0.1,63863,19808,512,TCP Telnet
h26,10.0.0.1,13320,9364,512,TCP Telnet
h27,10.0.0.1,52392,6335,512,TCP Telnet
h28,10.0.0.1,47355,3934,512,TCP 
h29,10.0.0.1,41035,10420,512,TCP Telnet
h30,10.0.0.1,55806,7184,512,TCP 
h31,10.0.0.1,15730,3354,512,TCP 
h32,10.0.0.1,17509,9053,512,TCP 
h33,10.0.0.1,47526,13237,512,TCP 
h34,10.0.0.1,51631,19293,512,TCP 
h35,10.0.0.1,45887,8355,512,TCP Telnet
h36,10.0.0.1,25707,1791,512,TCP 
h37,10.0.0.1,21268,10118,512,TCP 
h38,10.0.0.1,40519,5576,512,TCP 
h39,10.0.0.1,13786,14127,512,TCP 
h40,10.0.0.1,20143,8489,512,TCP 
h41,10.0.0.1,38966,1498,512,TCP Telnet
h42,10.0.0.1,28250,5773,512,TCP 
h43,10.0.0.1,40296,19576,512,TCP 
h44,10.0.0.1,14675,9880,512,TCP Telnet
h45,10.0.0.1,19597,5808,512,TCP 
h46,10.0.0.1,42307,1691,512,TCP Telnet
h47,10.0.0.1,24688,5295,512,TCP Telnet
h48,10.0.0.1,55889,6743,512,TCP 
h49,10.0.0.1,29203,10268,512,TCP Telnet
h50,10.0.0.1,55202,16704,512,TCP 
h51,10.0.0.1,59255,18011,512,TCP Telnet
h52,10.0.0.1,13014,2332,512,TCP Telnet
h53,10.0.0.1,37413,11730,512,TCP Telnet
h54,10.0.0.1,55602,6571,512,TCP Telnet
h55,10.0.0.1,26557,6139,512,TCP 
h56,10.0.0.1,41117,18536,512,TCP 
h57,10.0.0.1,37609,4134,512,TCP 
h58,10.0.0.1,19871,8189,512,TCP Telnet
h59,10.0.0.1,55412,13535,512,TCP Telnet
h60,10.0.0.1,11271,6829,512,TCP 
h61,10.0.0.1,57334,12585,512,TCP Telnet
h62,10.0.0.1,46995,11332,512,TCP Telnet
h63,10.0.0.1,53045,5335,512,TCP Telnet
h64,10.0.0.1,43952,14176,512,TCP 
h65,10.0.0.1,58748,17826,512,TCP Telnet
h66,10.0.0.1,35137,15809,512,TCP Telnet
h67,10.0.0.1,44198,4699,512,TCP 
h68,10.0.0.1,59181,13074,512,TCP Telnet
h69,10.0.0.1,17388,10932,512,TCP 
h70,10.0.0.1,31822,19308,512,TCP Telnet
h71,10.0.0.1,13440,4553,512,TCP 
h72,10.0.0.1,37786,2280,512,TCP Telnet
h73,10.0.0.1,12052,14944,512,TCP Telnet
h74,10.0.0.1,50515,12950,512,TCP Telnet
h75,10.0.0.1,42754,3191,512,TCP Telnet
h76,10.0.0.1,29672,17129,512,TCP Telnet
h77,10.0.0.1,58658,17497,512,TCP Telnet
h78,10.0.0.1,49690,18735,512,TCP 
h79,10.0.0.1,54305,5543,512,TCP Telnet
h80,10.0.0.1,34398,16173,512,TCP 
