host,IP
h1,10.0.0.1/8
h2,10.180.229.173/8
h3,10.84.115.103/8
h4,10.123.150.49/8
h5,10.10.8.121/8
h6,10.36.242.36/8
h7,10.38.86.236/8
h8,10.186.121.40/8
h9,10.80.199.200/8
h10,10.228.8.205/8
h11,10.137.3.145/8
h12,10.162.135.26/8
h13,10.66.65.140/8
h14,10.30.118.27/8
h15,10.101.59.40/8
h16,10.90.225.255/8
h17,10.121.54.164/8
h18,10.42.13.190/8
h19,10.44.15.98/8
h20,10.184.53.19/8
h21,10.66.205.160/8
h22,10.49.242.88/8
h23,10.70.1.153/8
h24,10.228.171.176/8
h25,10.80.181.237/8
h26,10.185.128.114/8
h27,10.21.66.187/8
h28,10.36.93.95/8
h29,10.118.14.134/8
h30,10.153.162.185/8
h31,10.51.201.5/8
h32,10.88.120.52/8
h33,10.165.139.65/8
h34,10.68.87.251/8
h35,10.51.87.148/8
h36,10.122.101.87/8
h37,10.192.111.165/8
h38,10.210.156.201/8
h39,10.193.196.32/8
h40,10.248.83.108/8
