host,serverIP,port,duration,size,proto
h2,10.0.0.1,57650,11874,512,TCP Telnet
h3,10.0.0.1,53827,1374,512,TCP 
h4,10.0.0.1,28565,6463,512,TCP Telnet
h5,10.0.0.1,48389,7354,512,TCP 
h6,10.0.0.1,61633,8452,512,TCP Telnet
h7,10.0.0.1,35233,2388,512,TCP Telnet
h8,10.0.0.1,53859,19463,512,TCP 
h9,10.0.0.1,59410,2587,512,TCP Telnet
h10,10.0.0.1,35198,4037,512,TCP 
h11,10.0.0.1,51836,5139,512,TCP 
h12,10.0.0.1,20919,15601,512,TCP 
h13,10.0.0.1,58899,9906,512,TCP Telnet
h14,10.0.0.1,40127,2642,512,TCP Telnet
h15,10.0.0.1,50153,13598,512,TCP 
h16,10.0.0.1,58877,14008,512,TCP Telnet
h17,10.0.0.1,25212,16839,512,TCP Telnet
h18,10.0.0.1,61142,10026,512,TCP Telnet
h19,10.0.0.1,21425,2449,512,TCP Telnet
h20,10.0.0.1,21732,9541,512,TCP Telnet
h21,10.0.0.1,63029,11145,512,TCP 
h22,10.0.0.1,58571,10907,512,TCP 
h23,10.0.0.1,33652,15843,512,TCP 
h24,10.0.0.1,59314,6470,512,TCP 
h25,10.0.0.1,50084,17026,512,TCP 
h26,10.0.0.1,54422,13922,512,TCP Telnet
h27,10.0.0.1,18554,4242,512,TCP 
h28,10.0.0.1,47464,1181,512,TCP Telnet
h29,10.0.0.1,40035,15172,512,TCP 
h30,10.0.0.1,25314,9178,512,TCP Telnet
h31,10.0.0.1,48740,1901,512,TCP 
h32,10.0.0.1,31364,16167,512,TCP 
h33,10.0.0.1,26096,8063,512,TCP 
h34,10.0.0.1,22083,16739,512,TCP Telnet
h35,10.0.0.1,59108,15363,512,TCP Telnet
h36,10.0.0.1,26614,13783,512,TCP Telnet
h37,10.0.0.1,30338,2550,512,TCP 
h38,10.0.0.1,11145,5818,512,TCP 
h39,10.0.0.1,61930,11460,512,TCP 
h40,10.0.0.1,56080,4277,512,TCP Telnet
