host,serverIP,port,duration,size,proto
h2,10.0.0.1,11133,17400,512,TCP 
h3,10.0.0.1,22478,9062,512,TCP Telnet
h4,10.0.0.1,16450,13076,512,TCP 
h5,10.0.0.1,26712,5278,512,TCP 
h6,10.0.0.1,46572,17840,512,TCP 
h7,10.0.0.1,58119,14207,512,TCP Telnet
h8,10.0.0.1,16220,19845,512,TCP 
h9,10.0.0.1,56799,1312,512,TCP 
h10,10.0.0.1,32675,16887,512,TCP Telnet
h11,10.0.0.1,33444,4534,512,TCP Telnet
h12,10.0.0.1,30182,14884,512,TCP 
h13,10.0.0.1,48688,1606,512,TCP Telnet
h14,10.0.0.1,50107,9317,512,TCP 
h15,10.0.0.1,28814,19986,512,TCP Telnet
h16,10.0.0.1,64837,5131,512,TCP Telnet
h17,10.0.0.1,39778,17802,512,TCP Telnet
h18,10.0.0.1,65534,6529,512,TCP Telnet
h19,10.0.0.1,32455,9594,512,TCP Telnet
h20,10.0.0.1,57171,8325,512,TCP Telnet
h21,10.0.0.1,57780,17140,512,TCP Telnet
h22,10.0.0.1,24590,18825,512,TCP 
h23,10.0.0.1,52616,11207,512,TCP 
h24,10.0.0.1,11082,19324,512,TCP 
h25,10.0.0.1,36463,7583,512,TCP Telnet
h26,10.0.0.1,23076,4344,512,TCP Telnet
h27,10.0.0.1,49310,13123,512,TCP Telnet
h28,10.0.0.1,53135,12143,512,TCP Telnet
h29,10.0.0.1,60868,19491,512,TCP Telnet
h30,10.0.0.1,51051,10786,512,TCP Telnet
h31,10.0.0.1,35402,7260,512,TCP Telnet
h32,10.0.0.1,21330,17202,512,TCP 
h33,10.0.0.1,62212,15597,512,TCP 
h34,10.0.0.1,52962,2372,512,TCP Telnet
h35,10.0.0.1,61642,7650,512,TCP Telnet
h36,10.0.0.1,24818,16445,512,TCP Telnet
h37,10.0.0.1,35769,15983,512,TCP 
h38,10.0.0.1,42579,16004,512,TCP 
h39,10.0.0.1,23552,19725,512,TCP 
h40,10.0.0.1,41144,17177,512,TCP Telnet
h41,10.0.0.1,37704,16026,512,TCP Telnet
h42,10.0.0.1,42370,14151,512,TCP Telnet
h43,10.0.0.1,21003,18041,512,TCP 
h44,10.0.0.1,41782,5899,512,TCP 
h45,10.0.0.1,20412,18329,512,TCP 
h46,10.0.0.1,11925,17864,512,TCP 
h47,10.0.0.1,10891,9206,512,TCP Telnet
h48,10.0.0.1,34569,17909,512,TCP 
h49,10.0.0.1,37034,18466,512,TCP Telnet
h50,10.0.0.1,51327,1167,512,TCP Telnet
h51,10.0.0.1,36352,18551,512,TCP 
h52,10.0.0.1,63791,4874,512,TCP Telnet
h53,10.0.0.1,10109,12164,512,TCP 
h54,10.0.0.1,17582,1339,512,TCP 
h55,10.0.0.1,14952,7396,512,TCP Telnet
h56,10.0.0.1,55241,19471,512,TCP Telnet
h57,10.0.0.1,59269,9731,512,TCP Telnet
h58,10.0.0.1,26474,15403,512,TCP 
h59,10.0.0.1,25360,13746,512,TCP Telnet
h60,10.0.0.1,21396,9092,512,TCP Telnet
h61,10.0.0.1,55846,8459,512,TCP Telnet
h62,10.0.0.1,36059,9086,512,TCP Telnet
h63,10.0.0.1,34048,13737,512,TCP 
h64,10.0.0.1,20532,6473,512,TCP 
h65,10.0.0.1,51354,9904,512,TCP 
h66,10.0.0.1,11634,11462,512,TCP Telnet
h67,10.0.0.1,26677,1098,512,TCP Telnet
h68,10.0.0.1,23355,5544,512,TCP 
h69,10.0.0.1,42026,6485,512,TCP Telnet
h70,10.0.0.1,14221,12956,512,TCP Telnet
h71,10.0.0.1,60574,1301,512,TCP Telnet
h72,10.0.0.1,48160,17899,512,TCP Telnet
h73,10.0.0.1,56514,8321,512,TCP 
h74,10.0.0.1,63849,19251,512,TCP 
h75,10.0.0.1,42263,5483,512,TCP 
h76,10.0.0.1,32477,4288,512,TCP Telnet
h77,10.0.0.1,16339,18759,512,TCP Telnet
h78,10.0.0.1,63541,2579,512,TCP 
h79,10.0.0.1,29454,13523,512,TCP 
h80,10.0.0.1,18439,16110,512,TCP Telnet
