host,IP
h1,10.0.0.1/8
h2,10.144.210.92/8
h3,10.187.27.14/8
h4,10.94.32.0/8
h5,10.90.198.163/8
h6,10.23.146.243/8
h7,10.199.60.108/8
h8,10.226.156.41/8
h9,10.50.59.250/8
h10,10.132.218.169/8
h11,10.106.99.129/8
h12,10.121.22.193/8
h13,10.30.42.210/8
h14,10.96.173.85/8
h15,10.229.96.155/8
h16,10.16.173.59/8
h17,10.75.138.60/8
h18,10.3.164.28/8
h19,10.181.240.44/8
h20,10.153.140.143/8
h21,10.153.31.246/8
h22,10.22.152.184/8
h23,10.153.73.70/8
h24,10.68.221.242/8
h25,10.91.208.85/8
h26,10.214.56.50/8
h27,10.82.201.156/8
h28,10.231.86.84/8
h29,10.32.152.145/8
h30,10.188.177.144/8
h31,10.83.219.150/8
h32,10.6.158.199/8
h33,10.245.78.75/8
h34,10.22.164.208/8
h35,10.153.235.118/8
h36,10.212.91.48/8
h37,10.86.35.17/8
h38,10.158.130.11/8
h39,10.0.1.40/8
h40,10.232.249.41/8
h41,10.192.128.23/8
h42,10.143.202.105/8
h43,10.132.130.210/8
h44,10.183.243.161/8
h45,10.9.236.190/8
h46,10.60.115.143/8
h47,10.70.235.180/8
h48,10.254.9.102/8
h49,10.253.175.125/8
h50,10.209.48.178/8
h51,10.164.207.164/8
h52,10.226.169.70/8
h53,10.200.235.88/8
h54,10.191.221.173/8
h55,10.76.56.150/8
h56,10.68.150.191/8
h57,10.135.158.106/8
h58,10.190.93.196/8
h59,10.211.185.22/8
h60,10.107.67.245/8
h61,10.27.75.16/8
h62,10.138.5.157/8
h63,10.240.8.44/8
h64,10.170.194.89/8
h65,10.73.38.90/8
h66,10.51.252.110/8
h67,10.92.87.173/8
h68,10.233.67.198/8
h69,10.151.15.70/8
h70,10.138.187.64/8
h71,10.128.138.246/8
h72,10.119.49.57/8
h73,10.47.233.177/8
h74,10.30.10.177/8
h75,10.79.155.107/8
h76,10.19.184.52/8
h77,10.254.53.52/8
h78,10.8.108.133/8
h79,10.142.32.153/8
h80,10.119.127.229/8
