host,serverIP,port,duration,size,proto
h2,10.0.0.1,44909,6989,512,TCP 
h3,10.0.0.1,21555,19171,512,TCP Telnet
h4,10.0.0.1,64494,8231,512,TCP 
h5,10.0.0.1,11385,14298,512,TCP Telnet
h6,10.0.0.1,60845,18900,512,TCP 
h7,10.0.0.1,19379,7510,512,TCP 
h8,10.0.0.1,21531,5990,512,TCP 
h9,10.0.0.1,37234,13236,512,TCP 
h10,10.0.0.1,51165,3650,512,TCP Telnet
h11,10.0.0.1,64397,2942,512,TCP 
h12,10.0.0.1,53132,17988,512,TCP 
h13,10.0.0.1,21668,7578,512,TCP 
h14,10.0.0.1,19994,13324,512,TCP Telnet
h15,10.0.0.1,56956,5460,512,TCP 
h16,10.0.0.1,44159,19003,512,TCP 
h17,10.0.0.1,27293,19070,512,TCP 
h18,10.0.0.1,22127,5958,512,TCP Telnet
h19,10.0.0.1,10489,1187,512,TCP 
h20,10.0.0.1,42116,11533,512,TCP Telnet
