host,serverIP,port,duration,size,proto
h2,10.0.0.1,59176,1488,512,TCP 
h3,10.0.0.1,40328,8748,512,TCP Telnet
h4,10.0.0.1,55052,3622,512,TCP Telnet
h5,10.0.0.1,14901,19925,512,TCP Telnet
h6,10.0.0.1,21663,7532,512,TCP 
h7,10.0.0.1,19677,8935,512,TCP Telnet
h8,10.0.0.1,14625,8464,512,TCP 
h9,10.0.0.1,43146,19882,512,TCP Telnet
h10,10.0.0.1,44996,2584,512,TCP 
h11,10.0.0.1,12927,13827,512,TCP Telnet
h12,10.0.0.1,37503,19847,512,TCP Telnet
h13,10.0.0.1,37206,19140,512,TCP Telnet
h14,10.0.0.1,33379,11512,512,TCP Telnet
h15,10.0.0.1,54460,8210,512,TCP 
h16,10.0.0.1,22117,4044,512,TCP 
h17,10.0.0.1,62827,14233,512,TCP 
h18,10.0.0.1,16133,7917,512,TCP Telnet
h19,10.0.0.1,35720,1303,512,TCP Telnet
h20,10.0.0.1,38145,5783,512,TCP Telnet
h21,10.0.0.1,50072,16634,512,TCP 
h22,10.0.0.1,34658,13464,512,TCP Telnet
h23,10.0.0.1,30457,16307,512,TCP 
h24,10.0.0.1,60473,7103,512,TCP 
h25,10.0.0.1,65391,16236,512,TCP Telnet
h26,10.0.0.1,64912,3932,512,TCP Telnet
h27,10.0.0.1,11032,12126,512,TCP 
h28,10.0.0.1,50795,2003,512,TCP Telnet
h29,10.0.0.1,46273,17772,512,TCP Telnet
h30,10.0.0.1,56717,8475,512,TCP Telnet
h31,10.0.0.1,63652,15916,512,TCP Telnet
h32,10.0.0.1,61767,19311,512,TCP 
h33,10.0.0.1,10002,11154,512,TCP Telnet
h34,10.0.0.1,19463,10289,512,TCP 
h35,10.0.0.1,26136,18876,512,TCP 
h36,10.0.0.1,31235,11886,512,TCP 
h37,10.0.0.1,45595,3772,512,TCP Telnet
h38,10.0.0.1,31431,11317,512,TCP 
h39,10.0.0.1,29122,14214,512,TCP Telnet
h40,10.0.0.1,34707,9989,512,TCP Telnet
h41,10.0.0.1,51930,4300,512,TCP Telnet
h42,10.0.0.1,22642,10288,512,TCP Telnet
h43,10.0.0.1,28045,11637,512,TCP Telnet
h44,10.0.0.1,37693,5883,512,TCP Telnet
h45,10.0.0.1,60697,16931,512,TCP Telnet
h46,10.0.0.1,58080,16333,512,TCP Telnet
h47,10.0.0.1,62797,19224,512,TCP Telnet
h48,10.0.0.1,47036,10652,512,TCP Telnet
h49,10.0.0.1,52480,11934,512,TCP 
h50,10.0.0.1,15918,16842,512,TCP 
h51,10.0.0.1,18258,6776,512,TCP 
h52,10.0.0.1,17463,19968,512,TCP Telnet
h53,10.0.0.1,32584,2397,512,TCP 
h54,10.0.0.1,48576,18170,512,TCP Telnet
h55,10.0.0.1,57253,1951,512,TCP 
h56,10.0.0.1,39643,19086,512,TCP Telnet
h57,10.0.0.1,50538,10768,512,TCP 
h58,10.0.0.1,46779,14790,512,TCP Telnet
h59,10.0.0.1,56171,11613,512,TCP 
h60,10.0.0.1,34280,14055,512,TCP Telnet
h61,10.0.0.1,24663,16383,512,TCP 
h62,10.0.0.1,61188,13284,512,TCP 
h63,10.0.0.1,36115,7195,512,TCP 
h64,10.0.0.1,15759,5914,512,TCP 
h65,10.0.0.1,47731,3443,512,TCP Telnet
h66,10.0.0.1,22296,13397,512,TCP 
h67,10.0.0.1,18282,19201,512,TCP 
h68,10.0.0.1,12083,7227,512,TCP 
h69,10.0.0.1,53543,13013,512,TCP Telnet
h70,10.0.0.1,26515,14253,512,TCP 
h71,10.0.0.1,20941,4481,512,TCP 
h72,10.0.0.1,62224,8756,512,TCP 
h73,10.0.0.1,28625,8672,512,TCP 
h74,10.0.0.1,20511,13135,512,TCP 
h75,10.0.0.1,15238,3408,512,TCP 
h76,10.0.0.1,55308,4476,512,TCP Telnet
h77,10.0.0.1,12330,5395,512,TCP Telnet
h78,10.0.0.1,16822,3727,512,TCP Telnet
h79,10.0.0.1,36474,1376,512,TCP 
h80,10.0.0.1,42179,3466,512,TCP 
