host,IP
h1,10.0.0.1/8
h2,10.193.92.229/8
h3,10.148.192.191/8
h4,10.30.42.220/8
h5,10.38.55.254/8
h6,10.142.123.164/8
h7,10.80.46.61/8
h8,10.153.235.118/8
h9,10.189.59.180/8
h10,10.119.127.229/8
h11,10.73.38.90/8
h12,10.115.31.133/8
h13,10.216.22.133/8
h14,10.126.218.219/8
h15,10.30.42.210/8
h16,10.185.67.39/8
h17,10.9.19.179/8
h18,10.183.78.45/8
h19,10.5.246.66/8
h20,10.66.207.220/8
h21,10.142.32.153/8
h22,10.68.150.191/8
h23,10.128.138.246/8
h24,10.65.170.35/8
h25,10.113.55.174/8
h26,10.250.124.179/8
h27,10.99.62.20/8
h28,10.83.72.205/8
h29,10.70.235.180/8
h30,10.244.136.85/8
h31,10.27.75.16/8
h32,10.175.82.194/8
h33,10.187.27.14/8
h34,10.158.130.11/8
h35,10.60.214.144/8
h36,10.212.91.48/8
h37,10.231.59.171/8
h38,10.36.202.11/8
h39,10.51.252.110/8
h40,10.246.51.193/8
h41,10.151.29.89/8
h42,10.106.99.129/8
h43,10.196.201.97/8
h44,10.60.115.143/8
h45,10.170.194.89/8
h46,10.243.42.88/8
h47,10.203.28.92/8
h48,10.40.26.253/8
h49,10.211.185.22/8
h50,10.93.45.243/8
h51,10.23.146.243/8
h52,10.91.142.61/8
h53,10.17.233.251/8
h54,10.96.173.85/8
h55,10.30.10.177/8
h56,10.203.202.244/8
h57,10.121.22.193/8
h58,10.5.160.190/8
h59,10.19.184.52/8
h60,10.21.242.127/8
h61,10.201.182.195/8
h62,10.134.119.98/8
h63,10.163.116.67/8
h64,10.194.151.111/8
h65,10.45.164.241/8
h66,10.14.114.110/8
h67,10.82.201.156/8
h68,10.54.232.137/8
h69,10.171.136.131/8
h70,10.138.187.64/8
h71,10.253.175.125/8
h72,10.75.128.210/8
h73,10.49.95.0/8
h74,10.233.67.198/8
h75,10.245.78.75/8
h76,10.74.52.165/8
h77,10.240.8.44/8
h78,10.190.93.196/8
h79,10.183.243.161/8
h80,10.68.221.242/8
