host,serverIP,port,duration,size,proto
h2,10.0.0.1,29050,5745,512,TCP Telnet
h3,10.0.0.1,49683,2590,512,TCP 
h4,10.0.0.1,10476,10300,512,TCP Telnet
h5,10.0.0.1,11749,12656,512,TCP 
h6,10.0.0.1,39778,2590,512,TCP 
h7,10.0.0.1,53553,13407,512,TCP Telnet
h8,10.0.0.1,44013,17773,512,TCP Telnet
h9,10.0.0.1,20524,18450,512,TCP Telnet
h10,10.0.0.1,60717,7597,512,TCP 
h11,10.0.0.1,55826,17819,512,TCP Telnet
h12,10.0.0.1,16486,10398,512,TCP Telnet
h13,10.0.0.1,17174,4694,512,TCP 
h14,10.0.0.1,19540,15418,512,TCP 
h15,10.0.0.1,44427,15077,512,TCP Telnet
h16,10.0.0.1,38808,17636,512,TCP Telnet
h17,10.0.0.1,10205,8797,512,TCP Telnet
h18,10.0.0.1,20502,5962,512,TCP Telnet
h19,10.0.0.1,55977,14343,512,TCP Telnet
h20,10.0.0.1,20068,1853,512,TCP Telnet
h21,10.0.0.1,59841,2974,512,TCP Telnet
h22,10.0.0.1,47058,2504,512,TCP Telnet
h23,10.0.0.1,29933,7866,512,TCP 
h24,10.0.0.1,28792,12910,512,TCP 
h25,10.0.0.1,22057,5561,512,TCP 
h26,10.0.0.1,27141,16576,512,TCP 
h27,10.0.0.1,61417,9344,512,TCP 
h28,10.0.0.1,49260,13295,512,TCP Telnet
h29,10.0.0.1,15146,15802,512,TCP 
h30,10.0.0.1,54569,19252,512,TCP 
h31,10.0.0.1,56876,1141,512,TCP Telnet
h32,10.0.0.1,39246,6231,512,TCP 
h33,10.0.0.1,44679,8755,512,TCP Telnet
h34,10.0.0.1,13330,15616,512,TCP 
h35,10.0.0.1,24125,13887,512,TCP Telnet
h36,10.0.0.1,16112,11071,512,TCP 
h37,10.0.0.1,28003,14210,512,TCP 
h38,10.0.0.1,59863,9188,512,TCP 
h39,10.0.0.1,14810,18687,512,TCP 
h40,10.0.0.1,54865,1686,512,TCP 
