host,IP
h1,10.0.0.1/8
h2,10.254.9.102/8
h3,10.22.164.208/8
h4,10.194.14.168/8
h5,10.115.31.133/8
h6,10.233.67.198/8
h7,10.189.59.180/8
h8,10.179.7.74/8
h9,10.107.224.168/8
h10,10.203.69.113/8
h11,10.243.175.107/8
h12,10.100.111.244/8
h13,10.85.33.120/8
h14,10.60.214.144/8
h15,10.6.21.251/8
h16,10.214.56.50/8
h17,10.120.17.65/8
h18,10.172.253.123/8
h19,10.185.67.39/8
h20,10.64.114.86/8
h21,10.6.158.199/8
h22,10.105.22.106/8
h23,10.50.59.250/8
h24,10.86.35.17/8
h25,10.30.164.187/8
h26,10.80.183.172/8
h27,10.44.218.153/8
h28,10.229.155.1/8
h29,10.188.163.89/8
h30,10.92.87.173/8
h31,10.157.114.56/8
h32,10.222.49.108/8
h33,10.200.235.88/8
h34,10.231.59.171/8
h35,10.163.116.67/8
h36,10.199.60.108/8
h37,10.91.208.85/8
h38,10.246.241.193/8
h39,10.68.54.254/8
h40,10.47.68.85/8
h41,10.125.13.133/8
h42,10.5.160.190/8
h43,10.70.235.180/8
h44,10.203.202.244/8
h45,10.135.158.106/8
h46,10.107.67.245/8
h47,10.164.207.164/8
h48,10.165.121.81/8
h49,10.224.167.4/8
h50,10.106.99.129/8
h51,10.153.235.118/8
h52,10.27.75.16/8
h53,10.85.89.0/8
h54,10.153.31.246/8
h55,10.18.126.224/8
h56,10.113.55.174/8
h57,10.80.46.61/8
h58,10.40.26.253/8
h59,10.9.19.179/8
h60,10.71.91.88/8
h61,10.238.151.150/8
h62,10.93.45.243/8
h63,10.250.218.2/8
h64,10.251.96.60/8
h65,10.33.157.165/8
h66,10.211.185.22/8
h67,10.194.151.111/8
h68,10.242.173.236/8
h69,10.113.182.95/8
h70,10.152.140.238/8
h71,10.132.218.169/8
h72,10.66.207.220/8
h73,10.168.249.101/8
h74,10.170.194.89/8
h75,10.19.184.52/8
h76,10.244.136.85/8
h77,10.112.185.172/8
h78,10.49.150.16/8
h79,10.193.92.229/8
h80,10.94.24.30/8
