host,serverIP,port,duration,size,proto
h2,10.0.0.1,52213,11533,512,TCP 
h3,10.0.0.1,33724,4100,512,TCP Telnet
h4,10.0.0.1,55187,5462,512,TCP 
h5,10.0.0.1,10121,10250,512,TCP 
h6,10.0.0.1,64530,12299,512,TCP Telnet
h7,10.0.0.1,60850,9774,512,TCP Telnet
h8,10.0.0.1,52527,16436,512,TCP 
h9,10.0.0.1,43764,7726,512,TCP Telnet
h10,10.0.0.1,40289,5934,512,TCP 
h11,10.0.0.1,32130,9083,512,TCP 
h12,10.0.0.1,29267,1417,512,TCP 
h13,10.0.0.1,46469,14019,512,TCP Telnet
h14,10.0.0.1,20159,11110,512,TCP 
h15,10.0.0.1,44184,11726,512,TCP Telnet
h16,10.0.0.1,42524,2035,512,TCP Telnet
h17,10.0.0.1,56142,3958,512,TCP 
h18,10.0.0.1,52064,18549,512,TCP 
h19,10.0.0.1,33674,12610,512,TCP 
h20,10.0.0.1,42371,6447,512,TCP Telnet
h21,10.0.0.1,21390,4121,512,TCP Telnet
h22,10.0.0.1,33264,14991,512,TCP Telnet
h23,10.0.0.1,63698,12044,512,TCP 
h24,10.0.0.1,60267,1826,512,TCP Telnet
h25,10.0.0.1,57733,8089,512,TCP Telnet
h26,10.0.0.1,49454,13264,512,TCP 
h27,10.0.0.1,52995,3210,512,TCP 
h28,10.0.0.1,24311,9903,512,TCP 
h29,10.0.0.1,56839,10554,512,TCP Telnet
h30,10.0.0.1,55824,4326,512,TCP 
h31,10.0.0.1,53398,12280,512,TCP 
h32,10.0.0.1,53216,14455,512,TCP Telnet
h33,10.0.0.1,17559,14445,512,TCP 
h34,10.0.0.1,17655,16774,512,TCP Telnet
h35,10.0.0.1,20702,6187,512,TCP Telnet
h36,10.0.0.1,63177,19987,512,TCP 
h37,10.0.0.1,61102,4672,512,TCP Telnet
h38,10.0.0.1,46037,16209,512,TCP 
h39,10.0.0.1,11520,14521,512,TCP 
h40,10.0.0.1,63075,1021,512,TCP 
h41,10.0.0.1,42177,14585,512,TCP 
h42,10.0.0.1,41572,16550,512,TCP Telnet
h43,10.0.0.1,19832,11634,512,TCP Telnet
h44,10.0.0.1,29300,6233,512,TCP 
h45,10.0.0.1,36578,12940,512,TCP Telnet
h46,10.0.0.1,28573,1771,512,TCP Telnet
h47,10.0.0.1,41109,15961,512,TCP Telnet
h48,10.0.0.1,17001,5475,512,TCP 
h49,10.0.0.1,26720,18771,512,TCP Telnet
h50,10.0.0.1,54348,8013,512,TCP Telnet
h51,10.0.0.1,39120,7063,512,TCP Telnet
h52,10.0.0.1,23438,5440,512,TCP 
h53,10.0.0.1,10342,13493,512,TCP Telnet
h54,10.0.0.1,37920,3982,512,TCP Telnet
h55,10.0.0.1,28480,11117,512,TCP Telnet
h56,10.0.0.1,44431,3653,512,TCP 
h57,10.0.0.1,12472,10620,512,TCP 
h58,10.0.0.1,44988,10261,512,TCP Telnet
h59,10.0.0.1,20873,7182,512,TCP 
h60,10.0.0.1,22899,4301,512,TCP 
h61,10.0.0.1,42245,7055,512,TCP 
h62,10.0.0.1,47296,7253,512,TCP Telnet
h63,10.0.0.1,62330,12626,512,TCP Telnet
h64,10.0.0.1,59620,14094,512,TCP 
h65,10.0.0.1,21511,13188,512,TCP Telnet
h66,10.0.0.1,11313,3383,512,TCP 
h67,10.0.0.1,10695,6789,512,TCP Telnet
h68,10.0.0.1,38718,4321,512,TCP Telnet
h69,10.0.0.1,22264,3556,512,TCP Telnet
h70,10.0.0.1,47956,18584,512,TCP 
h71,10.0.0.1,28553,8525,512,TCP Telnet
h72,10.0.0.1,10902,10144,512,TCP 
h73,10.0.0.1,62978,6024,512,TCP 
h74,10.0.0.1,60246,16748,512,TCP Telnet
h75,10.0.0.1,62457,12666,512,TCP 
h76,10.0.0.1,51596,5425,512,TCP 
h77,10.0.0.1,50365,11378,512,TCP 
h78,10.0.0.1,32762,6085,512,TCP Telnet
h79,10.0.0.1,55881,8912,512,TCP Telnet
h80,10.0.0.1,39079,19635,512,TCP 
