host,serverIP,port,duration,size,proto
h2,10.0.0.1,56142,1749,512,TCP 
h3,10.0.0.1,15164,4917,512,TCP 
h4,10.0.0.1,29619,10747,512,TCP 
h5,10.0.0.1,17330,13312,512,TCP 
h6,10.0.0.1,56931,8655,512,TCP 
h7,10.0.0.1,37112,6589,512,TCP 
h8,10.0.0.1,25111,16458,512,TCP Telnet
h9,10.0.0.1,35660,19685,512,TCP 
h10,10.0.0.1,24203,10739,512,TCP 
h11,10.0.0.1,53746,3369,512,TCP Telnet
h12,10.0.0.1,43193,1919,512,TCP 
h13,10.0.0.1,14595,10966,512,TCP Telnet
h14,10.0.0.1,38935,5833,512,TCP 
h15,10.0.0.1,27436,3201,512,TCP Telnet
h16,10.0.0.1,16096,12296,512,TCP Telnet
h17,10.0.0.1,42184,17558,512,TCP 
h18,10.0.0.1,27362,19619,512,TCP Telnet
h19,10.0.0.1,54118,1536,512,TCP Telnet
h20,10.0.0.1,45156,12484,512,TCP Telnet
h21,10.0.0.1,33301,4355,512,TCP 
h22,10.0.0.1,27992,18173,512,TCP 
h23,10.0.0.1,27891,5347,512,TCP 
h24,10.0.0.1,36946,13153,512,TCP Telnet
h25,10.0.0.1,26219,2080,512,TCP Telnet
h26,10.0.0.1,43527,17148,512,TCP Telnet
h27,10.0.0.1,26137,10080,512,TCP 
h28,10.0.0.1,32695,5072,512,TCP 
h29,10.0.0.1,25110,9013,512,TCP Telnet
h30,10.0.0.1,44908,1037,512,TCP Telnet
h31,10.0.0.1,27543,15202,512,TCP Telnet
h32,10.0.0.1,28159,12772,512,TCP Telnet
h33,10.0.0.1,18539,11557,512,TCP 
h34,10.0.0.1,18066,5847,512,TCP Telnet
h35,10.0.0.1,53031,15939,512,TCP 
h36,10.0.0.1,55337,4394,512,TCP Telnet
h37,10.0.0.1,28097,9781,512,TCP Telnet
h38,10.0.0.1,36177,8992,512,TCP Telnet
h39,10.0.0.1,25828,6217,512,TCP Telnet
h40,10.0.0.1,32970,14998,512,TCP 
