host,serverIP,port,duration,size,proto
h2,10.0.0.1,55970,2160,512,TCP Telnet
h3,10.0.0.1,63314,18567,512,TCP 
h4,10.0.0.1,12234,7349,512,TCP 
h5,10.0.0.1,63481,12166,512,TCP 
h6,10.0.0.1,19151,17360,512,TCP 
h7,10.0.0.1,63398,14276,512,TCP Telnet
h8,10.0.0.1,18293,3234,512,TCP Telnet
h9,10.0.0.1,12017,13834,512,TCP Telnet
h10,10.0.0.1,22255,1687,512,TCP 
h11,10.0.0.1,39695,7617,512,TCP 
h12,10.0.0.1,14544,14663,512,TCP Telnet
h13,10.0.0.1,50721,13736,512,TCP Telnet
h14,10.0.0.1,58440,17236,512,TCP 
h15,10.0.0.1,28639,6047,512,TCP 
h16,10.0.0.1,27753,1054,512,TCP Telnet
h17,10.0.0.1,60422,3301,512,TCP 
h18,10.0.0.1,57684,5650,512,TCP Telnet
h19,10.0.0.1,32774,13330,512,TCP 
h20,10.0.0.1,13349,1477,512,TCP 
