host,serverIP,port,duration,size,proto
h2,10.0.0.1,28461,16081,512,TCP 
h3,10.0.0.1,64402,6771,512,TCP 
h4,10.0.0.1,21885,3646,512,TCP Telnet
h5,10.0.0.1,20949,17916,512,TCP Telnet
h6,10.0.0.1,55802,1819,512,TCP Telnet
h7,10.0.0.1,58901,6368,512,TCP Telnet
h8,10.0.0.1,49177,11733,512,TCP Telnet
h9,10.0.0.1,54376,15229,512,TCP 
h10,10.0.0.1,26334,16284,512,TCP Telnet
h11,10.0.0.1,29473,1345,512,TCP 
h12,10.0.0.1,48656,10684,512,TCP Telnet
h13,10.0.0.1,14373,1469,512,TCP Telnet
h14,10.0.0.1,36831,5711,512,TCP Telnet
h15,10.0.0.1,65268,3933,512,TCP 
h16,10.0.0.1,12225,6629,512,TCP 
h17,10.0.0.1,40640,2390,512,TCP 
h18,10.0.0.1,31181,11428,512,TCP Telnet
h19,10.0.0.1,31924,13251,512,TCP 
h20,10.0.0.1,52577,6946,512,TCP Telnet
h21,10.0.0.1,52852,18388,512,TCP Telnet
h22,10.0.0.1,47866,13194,512,TCP 
h23,10.0.0.1,34676,10157,512,TCP 
h24,10.0.0.1,30280,11109,512,TCP 
h25,10.0.0.1,38522,1495,512,TCP 
h26,10.0.0.1,54672,14965,512,TCP Telnet
h27,10.0.0.1,26268,19708,512,TCP 
h28,10.0.0.1,51340,7629,512,TCP 
h29,10.0.0.1,48815,12843,512,TCP Telnet
h30,10.0.0.1,46193,12643,512,TCP Telnet
h31,10.0.0.1,44047,14238,512,TCP Telnet
h32,10.0.0.1,62059,13336,512,TCP 
h33,10.0.0.1,38579,12560,512,TCP 
h34,10.0.0.1,55954,4075,512,TCP 
h35,10.0.0.1,57445,12887,512,TCP 
h36,10.0.0.1,65321,3989,512,TCP Telnet
h37,10.0.0.1,45968,1316,512,TCP Telnet
h38,10.0.0.1,11657,7698,512,TCP Telnet
h39,10.0.0.1,14906,2876,512,TCP Telnet
h40,10.0.0.1,49376,6230,512,TCP Telnet
h41,10.0.0.1,40673,14646,512,TCP Telnet
h42,10.0.0.1,39251,7794,512,TCP 
h43,10.0.0.1,52189,7405,512,TCP 
h44,10.0.0.1,30329,17349,512,TCP Telnet
h45,10.0.0.1,27528,1592,512,TCP 
h46,10.0.0.1,10672,6153,512,TCP Telnet
h47,10.0.0.1,24438,14367,512,TCP 
h48,10.0.0.1,11888,12971,512,TCP Telnet
h49,10.0.0.1,61913,10076,512,TCP 
h50,10.0.0.1,24762,12450,512,TCP 
h51,10.0.0.1,10609,4549,512,TCP 
h52,10.0.0.1,48999,14212,512,TCP Telnet
h53,10.0.0.1,60964,16582,512,TCP Telnet
h54,10.0.0.1,25388,12453,512,TCP 
h55,10.0.0.1,26319,13876,512,TCP 
h56,10.0.0.1,40396,18079,512,TCP 
h57,10.0.0.1,30854,16825,512,TCP Telnet
h58,10.0.0.1,59388,14052,512,TCP Telnet
h59,10.0.0.1,22096,16583,512,TCP Telnet
h60,10.0.0.1,40227,18082,512,TCP 
h61,10.0.0.1,17320,6756,512,TCP 
h62,10.0.0.1,57858,13443,512,TCP Telnet
h63,10.0.0.1,49260,15554,512,TCP Telnet
h64,10.0.0.1,39729,2256,512,TCP Telnet
h65,10.0.0.1,49739,1152,512,TCP Telnet
h66,10.0.0.1,10690,12138,512,TCP 
h67,10.0.0.1,31477,19750,512,TCP 
h68,10.0.0.1,44331,3023,512,TCP 
h69,10.0.0.1,45894,1513,512,TCP 
h70,10.0.0.1,48086,1916,512,TCP Telnet
h71,10.0.0.1,36953,18893,512,TCP 
h72,10.0.0.1,41885,16712,512,TCP Telnet
h73,10.0.0.1,23412,8606,512,TCP Telnet
h74,10.0.0.1,17068,11384,512,TCP Telnet
h75,10.0.0.1,24035,8735,512,TCP 
h76,10.0.0.1,11615,1280,512,TCP 
h77,10.0.0.1,25445,2553,512,TCP 
h78,10.0.0.1,17477,19769,512,TCP Telnet
h79,10.0.0.1,34089,17868,512,TCP Telnet
h80,10.0.0.1,32284,16010,512,TCP 
