host,IP
h1,10.0.0.1/8
h2,10.244.37.195/8
h3,10.238.151.150/8
h4,10.119.127.229/8
h5,10.228.131.88/8
h6,10.233.67.198/8
h7,10.54.247.182/8
h8,10.246.241.193/8
h9,10.8.108.133/8
h10,10.47.68.85/8
h11,10.220.111.42/8
h12,10.189.59.180/8
h13,10.128.138.246/8
h14,10.251.96.60/8
h15,10.192.128.23/8
h16,10.6.21.251/8
h17,10.90.198.163/8
h18,10.229.96.155/8
h19,10.245.182.195/8
h20,10.18.184.171/8
h21,10.168.249.101/8
h22,10.251.115.107/8
h23,10.4.58.238/8
h24,10.240.8.44/8
h25,10.148.192.191/8
h26,10.112.16.154/8
h27,10.75.128.210/8
h28,10.201.211.156/8
h29,10.22.164.208/8
h30,10.151.29.89/8
h31,10.138.5.157/8
h32,10.142.123.164/8
h33,10.146.170.153/8
h34,10.158.130.11/8
h35,10.81.234.40/8
h36,10.22.152.184/8
h37,10.188.163.89/8
h38,10.120.17.65/8
h39,10.125.212.190/8
h40,10.250.218.2/8
h41,10.68.54.254/8
h42,10.151.15.70/8
h43,10.144.210.92/8
h44,10.247.32.210/8
h45,10.94.32.0/8
h46,10.38.55.254/8
h47,10.244.136.85/8
h48,10.94.26.169/8
h49,10.153.140.143/8
h50,10.68.221.242/8
h51,10.127.88.225/8
h52,10.152.140.238/8
h53,10.100.111.244/8
h54,10.168.163.183/8
h55,10.99.62.20/8
h56,10.107.224.168/8
h57,10.54.232.137/8
h58,10.28.116.253/8
h59,10.185.67.39/8
h60,10.74.52.165/8
h61,10.75.138.60/8
h62,10.123.241.6/8
h63,10.113.55.174/8
h64,10.181.240.44/8
h65,10.212.91.48/8
h66,10.49.114.233/8
h67,10.194.14.168/8
h68,10.32.152.145/8
h69,10.190.93.196/8
h70,10.82.201.156/8
h71,10.164.207.164/8
h72,10.179.7.74/8
h73,10.44.218.153/8
h74,10.137.129.181/8
h75,10.49.95.0/8
h76,10.226.156.41/8
h77,10.73.38.90/8
h78,10.138.19.160/8
h79,10.132.218.169/8
h80,10.188.177.144/8
