host,serverIP,port,duration,size,proto
h2,10.0.0.1,31491,16866,512,TCP 
h3,10.0.0.1,27684,10680,512,TCP 
h4,10.0.0.1,19001,4952,512,TCP Telnet
h5,10.0.0.1,10740,9492,512,TCP 
h6,10.0.0.1,18658,2132,512,TCP 
h7,10.0.0.1,23102,10264,512,TCP 
h8,10.0.0.1,34410,14465,512,TCP 
h9,10.0.0.1,19942,10856,512,TCP Telnet
h10,10.0.0.1,35014,18755,512,TCP 
h11,10.0.0.1,28342,6684,512,TCP 
h12,10.0.0.1,60224,5886,512,TCP Telnet
h13,10.0.0.1,49202,1645,512,TCP 
h14,10.0.0.1,35027,6631,512,TCP 
h15,10.0.0.1,33621,3487,512,TCP 
h16,10.0.0.1,29071,18929,512,TCP 
h17,10.0.0.1,21066,13974,512,TCP Telnet
h18,10.0.0.1,33272,10544,512,TCP Telnet
h19,10.0.0.1,10532,11830,512,TCP Telnet
h20,10.0.0.1,46038,15055,512,TCP Telnet
