host,IP
h1,10.0.0.1/8
h2,10.201.182.195/8
h3,10.66.207.220/8
h4,10.85.89.0/8
h5,10.50.59.250/8
h6,10.233.67.198/8
h7,10.76.56.150/8
h8,10.146.170.153/8
h9,10.246.51.193/8
h10,10.67.213.74/8
h11,10.30.42.220/8
h12,10.229.155.1/8
h13,10.68.54.254/8
h14,10.86.35.17/8
h15,10.94.24.30/8
h16,10.201.211.156/8
h17,10.244.136.85/8
h18,10.172.253.123/8
h19,10.33.157.165/8
h20,10.18.126.224/8
h21,10.228.131.88/8
h22,10.222.248.87/8
h23,10.70.235.180/8
h24,10.67.4.119/8
h25,10.128.190.111/8
h26,10.14.114.110/8
h27,10.120.17.65/8
h28,10.212.91.48/8
h29,10.144.210.92/8
h30,10.99.242.190/8
h31,10.243.41.136/8
h32,10.143.202.105/8
h33,10.148.192.191/8
h34,10.199.60.108/8
h35,10.138.187.64/8
h36,10.125.212.190/8
h37,10.5.115.32/8
h38,10.209.48.178/8
h39,10.244.37.195/8
h40,10.153.140.143/8
h41,10.250.124.179/8
h42,10.85.33.120/8
h43,10.125.13.133/8
h44,10.45.164.241/8
h45,10.67.87.118/8
h46,10.90.198.163/8
h47,10.54.247.182/8
h48,10.77.147.147/8
h49,10.185.67.39/8
h50,10.80.183.172/8
h51,10.211.185.22/8
h52,10.127.88.225/8
h53,10.132.218.169/8
h54,10.60.115.143/8
h55,10.71.91.88/8
h56,10.80.46.61/8
h57,10.96.173.85/8
h58,10.107.224.168/8
h59,10.247.32.210/8
h60,10.132.130.210/8
h61,10.193.92.229/8
h62,10.30.42.210/8
h63,10.91.208.85/8
h64,10.136.211.120/8
h65,10.183.243.161/8
h66,10.243.114.80/8
h67,10.38.55.254/8
h68,10.3.21.230/8
h69,10.131.253.237/8
h70,10.229.96.155/8
h71,10.138.5.157/8
h72,10.52.34.0/8
h73,10.41.161.86/8
h74,10.235.206.110/8
h75,10.153.229.43/8
h76,10.9.19.179/8
h77,10.153.221.115/8
h78,10.49.114.233/8
h79,10.181.240.44/8
h80,10.254.9.102/8
