host,serverIP,port,duration,size,proto
h2,10.0.0.1,24110,1590,512,TCP Telnet
h3,10.0.0.1,26580,15815,512,TCP 
h4,10.0.0.1,38597,3754,512,TCP 
h5,10.0.0.1,10921,17596,512,TCP 
h6,10.0.0.1,47779,15292,512,TCP Telnet
h7,10.0.0.1,41159,19334,512,TCP 
h8,10.0.0.1,61337,14266,512,TCP 
h9,10.0.0.1,60806,2377,512,TCP Telnet
h10,10.0.0.1,22020,10116,512,TCP Telnet
h11,10.0.0.1,20104,6113,512,TCP Telnet
h12,10.0.0.1,36766,12083,512,TCP 
h13,10.0.0.1,10421,7739,512,TCP 
h14,10.0.0.1,25299,13480,512,TCP Telnet
h15,10.0.0.1,52247,13213,512,TCP Telnet
h16,10.0.0.1,23685,19384,512,TCP 
h17,10.0.0.1,19418,13311,512,TCP Telnet
h18,10.0.0.1,59539,6963,512,TCP 
h19,10.0.0.1,10038,12956,512,TCP 
h20,10.0.0.1,39418,11398,512,TCP 
h21,10.0.0.1,34095,12100,512,TCP 
h22,10.0.0.1,27169,10077,512,TCP Telnet
h23,10.0.0.1,30833,17523,512,TCP Telnet
h24,10.0.0.1,64009,6587,512,TCP Telnet
h25,10.0.0.1,64578,17591,512,TCP 
h26,10.0.0.1,58926,16645,512,TCP Telnet
h27,10.0.0.1,34571,9558,512,TCP 
h28,10.0.0.1,29357,9016,512,TCP 
h29,10.0.0.1,13768,4622,512,TCP Telnet
h30,10.0.0.1,31233,12733,512,TCP 
h31,10.0.0.1,24413,3725,512,TCP Telnet
h32,10.0.0.1,61148,12238,512,TCP Telnet
h33,10.0.0.1,48096,9423,512,TCP 
h34,10.0.0.1,19026,5477,512,TCP Telnet
h35,10.0.0.1,54245,15735,512,TCP Telnet
h36,10.0.0.1,10004,18121,512,TCP Telnet
h37,10.0.0.1,16273,3124,512,TCP Telnet
h38,10.0.0.1,36469,16912,512,TCP 
h39,10.0.0.1,36219,15394,512,TCP Telnet
h40,10.0.0.1,47115,8882,512,TCP Telnet
h41,10.0.0.1,49569,19174,512,TCP Telnet
h42,10.0.0.1,35467,17181,512,TCP 
h43,10.0.0.1,37773,13099,512,TCP 
h44,10.0.0.1,59886,11636,512,TCP Telnet
h45,10.0.0.1,27381,6097,512,TCP Telnet
h46,10.0.0.1,24519,19000,512,TCP 
h47,10.0.0.1,26061,2310,512,TCP 
h48,10.0.0.1,48998,2790,512,TCP 
h49,10.0.0.1,23367,12641,512,TCP Telnet
h50,10.0.0.1,19179,14464,512,TCP Telnet
h51,10.0.0.1,47072,1739,512,TCP 
h52,10.0.0.1,49674,7864,512,TCP 
h53,10.0.0.1,38165,14337,512,TCP Telnet
h54,10.0.0.1,43545,18100,512,TCP Telnet
h55,10.0.0.1,42418,12202,512,TCP 
h56,10.0.0.1,14408,4336,512,TCP Telnet
h57,10.0.0.1,22217,8683,512,TCP Telnet
h58,10.0.0.1,33517,9965,512,TCP Telnet
h59,10.0.0.1,59392,8965,512,TCP 
h60,10.0.0.1,54854,17209,512,TCP Telnet
h61,10.0.0.1,57631,15817,512,TCP 
h62,10.0.0.1,64012,13137,512,TCP 
h63,10.0.0.1,23198,2325,512,TCP 
h64,10.0.0.1,22427,3261,512,TCP Telnet
h65,10.0.0.1,52294,1409,512,TCP 
h66,10.0.0.1,38516,2892,512,TCP 
h67,10.0.0.1,39135,9604,512,TCP 
h68,10.0.0.1,35511,9769,512,TCP 
h69,10.0.0.1,55949,9027,512,TCP Telnet
h70,10.0.0.1,12864,17488,512,TCP 
h71,10.0.0.1,59849,17232,512,TCP 
h72,10.0.0.1,47058,3742,512,TCP 
h73,10.0.0.1,28918,5265,512,TCP 
h74,10.0.0.1,22367,1331,512,TCP 
h75,10.0.0.1,20489,15336,512,TCP Telnet
h76,10.0.0.1,26077,10268,512,TCP Telnet
h77,10.0.0.1,47056,13528,512,TCP Telnet
h78,10.0.0.1,63214,4783,512,TCP 
h79,10.0.0.1,13812,6756,512,TCP Telnet
h80,10.0.0.1,61748,13761,512,TCP 
