host,serverIP,port,duration,size,proto
h2,10.0.0.1,31532,14095,512,TCP 
h3,10.0.0.1,19079,11542,512,TCP 
h4,10.0.0.1,23144,4087,512,TCP 
h5,10.0.0.1,10699,17192,512,TCP Telnet
h6,10.0.0.1,30325,13672,512,TCP 
h7,10.0.0.1,11467,16182,512,TCP Telnet
h8,10.0.0.1,40168,4072,512,TCP 
h9,10.0.0.1,63528,12280,512,TCP 
h10,10.0.0.1,24206,17583,512,TCP 
h11,10.0.0.1,58152,14043,512,TCP 
h12,10.0.0.1,10429,2578,512,TCP 
h13,10.0.0.1,37568,1140,512,TCP Telnet
h14,10.0.0.1,38031,8403,512,TCP 
h15,10.0.0.1,49231,16260,512,TCP 
h16,10.0.0.1,23185,1828,512,TCP 
h17,10.0.0.1,44846,19501,512,TCP 
h18,10.0.0.1,11839,12360,512,TCP 
h19,10.0.0.1,52072,11742,512,TCP 
h20,10.0.0.1,32148,7769,512,TCP 
h21,10.0.0.1,15605,10719,512,TCP 
h22,10.0.0.1,23446,12291,512,TCP Telnet
h23,10.0.0.1,24807,8795,512,TCP 
h24,10.0.0.1,62740,10605,512,TCP 
h25,10.0.0.1,47545,7056,512,TCP Telnet
h26,10.0.0.1,53950,16870,512,TCP Telnet
h27,10.0.0.1,26538,3877,512,TCP Telnet
h28,10.0.0.1,64850,13839,512,TCP Telnet
h29,10.0.0.1,48347,1280,512,TCP 
h30,10.0.0.1,41225,7389,512,TCP 
h31,10.0.0.1,36790,1768,512,TCP Telnet
h32,10.0.0.1,24633,10917,512,TCP 
h33,10.0.0.1,63359,10644,512,TCP 
h34,10.0.0.1,62301,3871,512,TCP 
h35,10.0.0.1,45641,18459,512,TCP Telnet
h36,10.0.0.1,36391,12683,512,TCP 
h37,10.0.0.1,26410,2158,512,TCP Telnet
h38,10.0.0.1,23182,4203,512,TCP 
h39,10.0.0.1,40837,7400,512,TCP Telnet
h40,10.0.0.1,11932,5686,512,TCP Telnet
h41,10.0.0.1,56451,2136,512,TCP Telnet
h42,10.0.0.1,57154,7105,512,TCP Telnet
h43,10.0.0.1,26071,17325,512,TCP Telnet
h44,10.0.0.1,10409,6248,512,TCP 
h45,10.0.0.1,50124,8360,512,TCP Telnet
h46,10.0.0.1,61739,18143,512,TCP Telnet
h47,10.0.0.1,64624,13745,512,TCP Telnet
h48,10.0.0.1,52474,17381,512,TCP Telnet
h49,10.0.0.1,24858,7005,512,TCP Telnet
h50,10.0.0.1,59834,5614,512,TCP Telnet
h51,10.0.0.1,29527,14087,512,TCP Telnet
h52,10.0.0.1,22205,19603,512,TCP Telnet
h53,10.0.0.1,58398,15677,512,TCP 
h54,10.0.0.1,48770,6490,512,TCP Telnet
h55,10.0.0.1,43894,18760,512,TCP Telnet
h56,10.0.0.1,37743,5474,512,TCP Telnet
h57,10.0.0.1,49208,19852,512,TCP 
h58,10.0.0.1,24801,16517,512,TCP Telnet
h59,10.0.0.1,23987,10006,512,TCP 
h60,10.0.0.1,25603,9963,512,TCP Telnet
h61,10.0.0.1,36463,17310,512,TCP 
h62,10.0.0.1,51785,12546,512,TCP Telnet
h63,10.0.0.1,19447,11966,512,TCP Telnet
h64,10.0.0.1,55722,9526,512,TCP 
h65,10.0.0.1,30533,19244,512,TCP 
h66,10.0.0.1,64522,14996,512,TCP Telnet
h67,10.0.0.1,62040,14019,512,TCP 
h68,10.0.0.1,26988,15238,512,TCP 
h69,10.0.0.1,21181,15133,512,TCP Telnet
h70,10.0.0.1,30053,9537,512,TCP 
h71,10.0.0.1,61349,1165,512,TCP Telnet
h72,10.0.0.1,31861,9214,512,TCP Telnet
h73,10.0.0.1,53502,12708,512,TCP 
h74,10.0.0.1,45229,3778,512,TCP 
h75,10.0.0.1,50477,16252,512,TCP Telnet
h76,10.0.0.1,11620,7381,512,TCP Telnet
h77,10.0.0.1,42607,5244,512,TCP Telnet
h78,10.0.0.1,45921,1913,512,TCP Telnet
h79,10.0.0.1,58791,9565,512,TCP 
h80,10.0.0.1,16496,12087,512,TCP Telnet
