host,serverIP,port,duration,size,proto
h2,10.0.0.1,13918,5514,512,TCP 
h3,10.0.0.1,12029,2663,512,TCP 
h4,10.0.0.1,23731,19477,512,TCP Telnet
h5,10.0.0.1,25907,6848,512,TCP Telnet
h6,10.0.0.1,49023,7624,512,TCP 
h7,10.0.0.1,55941,10075,512,TCP 
h8,10.0.0.1,51727,11941,512,TCP Telnet
h9,10.0.0.1,21476,10008,512,TCP 
h10,10.0.0.1,43638,9764,512,TCP 
h11,10.0.0.1,19456,12588,512,TCP 
h12,10.0.0.1,13600,15302,512,TCP Telnet
h13,10.0.0.1,52528,3713,512,TCP Telnet
h14,10.0.0.1,55917,10707,512,TCP 
h15,10.0.0.1,54836,10026,512,TCP Telnet
h16,10.0.0.1,47771,19474,512,TCP 
h17,10.0.0.1,23292,7229,512,TCP Telnet
h18,10.0.0.1,38728,4980,512,TCP 
h19,10.0.0.1,59047,6329,512,TCP 
h20,10.0.0.1,13771,8919,512,TCP Telnet
h21,10.0.0.1,48086,7416,512,TCP Telnet
h22,10.0.0.1,52245,4944,512,TCP 
h23,10.0.0.1,22385,13624,512,TCP Telnet
h24,10.0.0.1,60456,10821,512,TCP 
h25,10.0.0.1,53655,15452,512,TCP Telnet
h26,10.0.0.1,44561,14384,512,TCP 
h27,10.0.0.1,56521,16665,512,TCP 
h28,10.0.0.1,37875,4167,512,TCP Telnet
h29,10.0.0.1,53901,11090,512,TCP Telnet
h30,10.0.0.1,14717,13097,512,TCP Telnet
h31,10.0.0.1,59371,6877,512,TCP 
h32,10.0.0.1,15858,15910,512,TCP Telnet
h33,10.0.0.1,17464,4849,512,TCP Telnet
h34,10.0.0.1,47105,16377,512,TCP Telnet
h35,10.0.0.1,59617,8971,512,TCP Telnet
h36,10.0.0.1,11201,10292,512,TCP 
h37,10.0.0.1,16827,5065,512,TCP Telnet
h38,10.0.0.1,12290,2034,512,TCP Telnet
h39,10.0.0.1,23208,7730,512,TCP 
h40,10.0.0.1,26986,1384,512,TCP Telnet
