host,IP
h1,10.0.0.1/8
h2,10.39.74.93/8
h3,10.90.225.255/8
h4,10.116.87.103/8
h5,10.230.222.20/8
h6,10.88.120.52/8
h7,10.80.8.212/8
h8,10.118.57.211/8
h9,10.85.180.120/8
h10,10.123.9.184/8
h11,10.70.208.181/8
h12,10.147.209.121/8
h13,10.186.69.137/8
h14,10.80.199.200/8
h15,10.141.253.54/8
h16,10.79.214.35/8
h17,10.21.66.187/8
h18,10.186.121.40/8
h19,10.228.8.205/8
h20,10.157.97.21/8
h21,10.77.139.43/8
h22,10.228.171.176/8
h23,10.30.118.27/8
h24,10.11.116.19/8
h25,10.181.206.118/8
h26,10.220.248.75/8
h27,10.10.162.76/8
h28,10.179.196.52/8
h29,10.87.253.22/8
h30,10.161.183.96/8
h31,10.20.186.254/8
h32,10.204.16.128/8
h33,10.51.201.5/8
h34,10.118.14.134/8
h35,10.122.101.87/8
h36,10.193.196.32/8
h37,10.38.86.236/8
h38,10.94.164.14/8
h39,10.51.87.148/8
h40,10.54.15.162/8
