host,serverIP,port,duration,size,proto
h2,10.0.0.1,56270,7482,512,TCP Telnet
h3,10.0.0.1,44962,6292,512,TCP 
h4,10.0.0.1,33442,11047,512,TCP Telnet
h5,10.0.0.1,32147,5198,512,TCP 
h6,10.0.0.1,32790,9629,512,TCP 
h7,10.0.0.1,48616,18309,512,TCP Telnet
h8,10.0.0.1,16258,1799,512,TCP 
h9,10.0.0.1,37285,8615,512,TCP Telnet
h10,10.0.0.1,18918,1139,512,TCP 
h11,10.0.0.1,32799,7579,512,TCP Telnet
h12,10.0.0.1,32361,9145,512,TCP 
h13,10.0.0.1,40784,12711,512,TCP 
h14,10.0.0.1,33659,8598,512,TCP 
h15,10.0.0.1,54688,10285,512,TCP 
h16,10.0.0.1,44096,3901,512,TCP Telnet
h17,10.0.0.1,25859,18696,512,TCP 
h18,10.0.0.1,60726,7137,512,TCP Telnet
h19,10.0.0.1,58398,5238,512,TCP 
h20,10.0.0.1,47159,9750,512,TCP 
