host,serverIP,port,duration,size,proto
h2,10.0.0.1,19805,17654,512,TCP 
h3,10.0.0.1,48844,7871,512,TCP Telnet
h4,10.0.0.1,13714,3044,512,TCP Telnet
h5,10.0.0.1,23320,19729,512,TCP Telnet
h6,10.0.0.1,53372,3927,512,TCP Telnet
h7,10.0.0.1,54767,19528,512,TCP Telnet
h8,10.0.0.1,44771,9961,512,TCP 
h9,10.0.0.1,30189,8525,512,TCP Telnet
h10,10.0.0.1,27697,7823,512,TCP Telnet
h11,10.0.0.1,63197,2344,512,TCP Telnet
h12,10.0.0.1,38164,9606,512,TCP Telnet
h13,10.0.0.1,30999,15193,512,TCP 
h14,10.0.0.1,53661,11383,512,TCP 
h15,10.0.0.1,11483,16599,512,TCP Telnet
h16,10.0.0.1,44662,6269,512,TCP Telnet
h17,10.0.0.1,45059,8133,512,TCP Telnet
h18,10.0.0.1,20481,2227,512,TCP 
h19,10.0.0.1,14544,16195,512,TCP 
h20,10.0.0.1,12503,14319,512,TCP Telnet
h21,10.0.0.1,12692,8145,512,TCP Telnet
h22,10.0.0.1,59920,18074,512,TCP Telnet
h23,10.0.0.1,47885,3938,512,TCP 
h24,10.0.0.1,10633,13342,512,TCP Telnet
h25,10.0.0.1,49605,13709,512,TCP Telnet
h26,10.0.0.1,44690,17452,512,TCP Telnet
h27,10.0.0.1,13217,12321,512,TCP Telnet
h28,10.0.0.1,56568,9868,512,TCP 
h29,10.0.0.1,23253,10507,512,TCP Telnet
h30,10.0.0.1,40763,10578,512,TCP 
h31,10.0.0.1,15666,18880,512,TCP Telnet
h32,10.0.0.1,60756,11559,512,TCP Telnet
h33,10.0.0.1,55855,5908,512,TCP 
h34,10.0.0.1,10031,17525,512,TCP 
h35,10.0.0.1,28913,2411,512,TCP 
h36,10.0.0.1,27633,12666,512,TCP 
h37,10.0.0.1,47469,18157,512,TCP 
h38,10.0.0.1,28187,2614,512,TCP 
h39,10.0.0.1,12804,10326,512,TCP 
h40,10.0.0.1,36764,6946,512,TCP Telnet
h41,10.0.0.1,38320,11065,512,TCP Telnet
h42,10.0.0.1,29194,7342,512,TCP 
h43,10.0.0.1,26296,18238,512,TCP Telnet
h44,10.0.0.1,49127,13522,512,TCP 
h45,10.0.0.1,63480,14726,512,TCP Telnet
h46,10.0.0.1,33425,2511,512,TCP Telnet
h47,10.0.0.1,59261,15258,512,TCP Telnet
h48,10.0.0.1,45748,13774,512,TCP 
h49,10.0.0.1,34361,1536,512,TCP 
h50,10.0.0.1,44532,2471,512,TCP 
h51,10.0.0.1,25346,4299,512,TCP Telnet
h52,10.0.0.1,26076,17810,512,TCP Telnet
h53,10.0.0.1,47567,1248,512,TCP 
h54,10.0.0.1,16636,17181,512,TCP 
h55,10.0.0.1,24799,6744,512,TCP Telnet
h56,10.0.0.1,34770,12199,512,TCP 
h57,10.0.0.1,28124,10542,512,TCP 
h58,10.0.0.1,25251,7548,512,TCP 
h59,10.0.0.1,35535,17360,512,TCP 
h60,10.0.0.1,44915,1867,512,TCP Telnet
h61,10.0.0.1,62658,16156,512,TCP Telnet
h62,10.0.0.1,27546,2313,512,TCP Telnet
h63,10.0.0.1,51420,12012,512,TCP Telnet
h64,10.0.0.1,14867,5153,512,TCP 
h65,10.0.0.1,22271,15822,512,TCP 
h66,10.0.0.1,39569,5323,512,TCP Telnet
h67,10.0.0.1,65448,15621,512,TCP Telnet
h68,10.0.0.1,48681,18537,512,TCP Telnet
h69,10.0.0.1,36625,14182,512,TCP 
h70,10.0.0.1,16377,19478,512,TCP Telnet
h71,10.0.0.1,26505,12383,512,TCP 
h72,10.0.0.1,35895,15663,512,TCP 
h73,10.0.0.1,31931,12405,512,TCP 
h74,10.0.0.1,60021,17192,512,TCP Telnet
h75,10.0.0.1,64020,13042,512,TCP 
h76,10.0.0.1,39942,6540,512,TCP Telnet
h77,10.0.0.1,34069,6963,512,TCP Telnet
h78,10.0.0.1,42380,5005,512,TCP Telnet
h79,10.0.0.1,13615,17616,512,TCP Telnet
h80,10.0.0.1,14004,7351,512,TCP 
