host,serverIP,port,duration,size,proto
h2,10.0.0.1,39806,16355,512,TCP Telnet
h3,10.0.0.1,26324,3691,512,TCP 
h4,10.0.0.1,41493,7356,512,TCP Telnet
h5,10.0.0.1,55418,14429,512,TCP 
h6,10.0.0.1,35433,5884,512,TCP Telnet
h7,10.0.0.1,39771,3089,512,TCP 
h8,10.0.0.1,38551,8214,512,TCP Telnet
h9,10.0.0.1,37475,13254,512,TCP Telnet
h10,10.0.0.1,36587,13548,512,TCP Telnet
h11,10.0.0.1,12067,17239,512,TCP 
h12,10.0.0.1,15047,18261,512,TCP 
h13,10.0.0.1,54927,8784,512,TCP 
h14,10.0.0.1,29095,1703,512,TCP Telnet
h15,10.0.0.1,38084,11779,512,TCP 
h16,10.0.0.1,17351,16194,512,TCP Telnet
h17,10.0.0.1,51001,3041,512,TCP Telnet
h18,10.0.0.1,50672,6239,512,TCP 
h19,10.0.0.1,11631,18982,512,TCP Telnet
h20,10.0.0.1,28295,3063,512,TCP Telnet
h21,10.0.0.1,31885,15235,512,TCP Telnet
h22,10.0.0.1,33891,7019,512,TCP 
h23,10.0.0.1,35716,5276,512,TCP Telnet
h24,10.0.0.1,34542,2817,512,TCP 
h25,10.0.0.1,20677,18888,512,TCP 
h26,10.0.0.1,33106,15007,512,TCP 
h27,10.0.0.1,40686,12528,512,TCP 
h28,10.0.0.1,44174,1989,512,TCP Telnet
h29,10.0.0.1,45945,9245,512,TCP 
h30,10.0.0.1,58194,18244,512,TCP Telnet
h31,10.0.0.1,29061,1927,512,TCP Telnet
h32,10.0.0.1,31711,11956,512,TCP 
h33,10.0.0.1,58019,15995,512,TCP Telnet
h34,10.0.0.1,61330,18771,512,TCP Telnet
h35,10.0.0.1,25730,9205,512,TCP 
h36,10.0.0.1,14582,6510,512,TCP Telnet
h37,10.0.0.1,61333,4705,512,TCP Telnet
h38,10.0.0.1,50843,5973,512,TCP 
h39,10.0.0.1,51050,18232,512,TCP Telnet
h40,10.0.0.1,50257,13003,512,TCP 
