host,IP
h1,10.0.0.1/8
h2,10.122.96.191/8
h3,10.80.183.172/8
h4,10.148.192.191/8
h5,10.226.156.41/8
h6,10.247.32.210/8
h7,10.229.96.155/8
h8,10.224.167.4/8
h9,10.48.200.170/8
h10,10.222.248.87/8
h11,10.67.213.74/8
h12,10.193.92.229/8
h13,10.47.233.177/8
h14,10.52.34.0/8
h15,10.185.67.39/8
h16,10.119.49.57/8
h17,10.76.56.150/8
h18,10.246.51.193/8
h19,10.181.240.44/8
h20,10.165.121.81/8
h21,10.242.173.236/8
h22,10.215.64.199/8
h23,10.49.95.0/8
h24,10.142.123.164/8
h25,10.80.46.61/8
h26,10.216.22.133/8
h27,10.68.54.254/8
h28,10.228.131.88/8
h29,10.212.183.245/8
h30,10.201.211.156/8
h31,10.115.31.133/8
h32,10.158.130.11/8
h33,10.77.147.147/8
h34,10.91.208.85/8
h35,10.203.69.113/8
h36,10.5.115.32/8
h37,10.67.4.119/8
h38,10.94.32.0/8
h39,10.138.187.64/8
h40,10.81.234.40/8
h41,10.214.56.50/8
h42,10.99.62.20/8
h43,10.75.128.210/8
h44,10.18.184.171/8
h45,10.63.227.21/8
h46,10.74.52.165/8
h47,10.243.114.80/8
h48,10.153.73.70/8
h49,10.170.27.220/8
h50,10.70.183.160/8
h51,10.244.136.85/8
h52,10.51.252.110/8
h53,10.157.114.56/8
h54,10.175.82.194/8
h55,10.171.136.131/8
h56,10.238.226.12/8
h57,10.188.163.89/8
h58,10.240.8.44/8
h59,10.18.126.224/8
h60,10.250.124.179/8
h61,10.22.164.208/8
h62,10.44.218.153/8
h63,10.8.108.133/8
h64,10.200.235.88/8
h65,10.5.160.190/8
h66,10.83.72.205/8
h67,10.226.169.70/8
h68,10.243.175.107/8
h69,10.105.22.106/8
h70,10.30.10.177/8
h71,10.136.211.120/8
h72,10.50.59.250/8
h73,10.137.177.134/8
h74,10.132.218.169/8
h75,10.48.99.237/8
h76,10.168.163.183/8
h77,10.17.233.251/8
h78,10.64.114.86/8
h79,10.199.60.108/8
h80,10.175.248.112/8
