host,serverIP,port,duration,size,proto
h2,10.0.0.1,57544,9054,512,TCP Telnet
h3,10.0.0.1,26895,4186,512,TCP 
h4,10.0.0.1,11940,10998,512,TCP 
h5,10.0.0.1,58727,16667,512,TCP Telnet
h6,10.0.0.1,51712,12229,512,TCP Telnet
h7,10.0.0.1,43311,14688,512,TCP Telnet
h8,10.0.0.1,17706,2840,512,TCP 
h9,10.0.0.1,26409,1498,512,TCP Telnet
h10,10.0.0.1,30559,1718,512,TCP Telnet
h11,10.0.0.1,10089,10126,512,TCP 
h12,10.0.0.1,24908,10944,512,TCP Telnet
h13,10.0.0.1,61961,16415,512,TCP 
h14,10.0.0.1,64363,11170,512,TCP Telnet
h15,10.0.0.1,45426,5928,512,TCP Telnet
h16,10.0.0.1,15165,4980,512,TCP 
h17,10.0.0.1,25132,13584,512,TCP Telnet
h18,10.0.0.1,42714,6342,512,TCP Telnet
h19,10.0.0.1,55978,1610,512,TCP Telnet
h20,10.0.0.1,45742,8017,512,TCP 
