host,serverIP,port,duration,size,proto
h2,10.0.0.1,34810,19092,512,TCP 
h3,10.0.0.1,61527,18855,512,TCP Telnet
h4,10.0.0.1,63817,6477,512,TCP Telnet
h5,10.0.0.1,12516,12007,512,TCP 
h6,10.0.0.1,33881,15209,512,TCP 
h7,10.0.0.1,35424,13170,512,TCP 
h8,10.0.0.1,21842,3287,512,TCP Telnet
h9,10.0.0.1,35857,15343,512,TCP 
h10,10.0.0.1,61668,18466,512,TCP Telnet
h11,10.0.0.1,19646,4691,512,TCP Telnet
h12,10.0.0.1,30961,8344,512,TCP 
h13,10.0.0.1,36884,12272,512,TCP Telnet
h14,10.0.0.1,28557,2811,512,TCP 
h15,10.0.0.1,62513,10227,512,TCP Telnet
h16,10.0.0.1,34357,4162,512,TCP 
h17,10.0.0.1,58220,9915,512,TCP 
h18,10.0.0.1,43430,9693,512,TCP 
h19,10.0.0.1,38031,7381,512,TCP Telnet
h20,10.0.0.1,17216,14749,512,TCP Telnet
h21,10.0.0.1,40412,10609,512,TCP 
h22,10.0.0.1,42040,3152,512,TCP 
h23,10.0.0.1,56216,4051,512,TCP 
h24,10.0.0.1,27287,15164,512,TCP 
h25,10.0.0.1,48552,19436,512,TCP Telnet
h26,10.0.0.1,48770,17234,512,TCP Telnet
h27,10.0.0.1,50297,6384,512,TCP 
h28,10.0.0.1,51549,13636,512,TCP Telnet
h29,10.0.0.1,30023,2262,512,TCP 
h30,10.0.0.1,46669,16008,512,TCP Telnet
h31,10.0.0.1,49059,15700,512,TCP Telnet
h32,10.0.0.1,15190,8312,512,TCP Telnet
h33,10.0.0.1,24253,17033,512,TCP 
h34,10.0.0.1,57553,15736,512,TCP 
h35,10.0.0.1,43097,4912,512,TCP Telnet
h36,10.0.0.1,37634,3762,512,TCP 
h37,10.0.0.1,26140,3927,512,TCP Telnet
h38,10.0.0.1,25186,12128,512,TCP Telnet
h39,10.0.0.1,53050,4097,512,TCP 
h40,10.0.0.1,36298,17442,512,TCP Telnet
