host,serverIP,port,duration,size,proto
h2,10.0.0.1,49012,5102,512,TCP 
h3,10.0.0.1,40198,10502,512,TCP Telnet
h4,10.0.0.1,50403,5116,512,TCP Telnet
h5,10.0.0.1,25008,19208,512,TCP 
h6,10.0.0.1,61500,5450,512,TCP 
h7,10.0.0.1,36434,8801,512,TCP Telnet
h8,10.0.0.1,15002,16730,512,TCP 
h9,10.0.0.1,63613,8742,512,TCP 
h10,10.0.0.1,10648,11945,512,TCP 
h11,10.0.0.1,38924,18398,512,TCP 
h12,10.0.0.1,31201,18153,512,TCP Telnet
h13,10.0.0.1,41615,14293,512,TCP 
h14,10.0.0.1,40357,7461,512,TCP Telnet
h15,10.0.0.1,52357,13652,512,TCP 
h16,10.0.0.1,15224,17968,512,TCP 
h17,10.0.0.1,42768,10431,512,TCP 
h18,10.0.0.1,54021,12215,512,TCP 
h19,10.0.0.1,59204,8868,512,TCP Telnet
h20,10.0.0.1,54148,2311,512,TCP 
