host,serverIP,port,duration,size,proto
h2,10.0.0.1,58035,14732,512,TCP 
h3,10.0.0.1,37905,18870,512,TCP 
h4,10.0.0.1,23468,10277,512,TCP Telnet
h5,10.0.0.1,27230,5140,512,TCP 
h6,10.0.0.1,39703,6067,512,TCP Telnet
h7,10.0.0.1,63103,12600,512,TCP Telnet
h8,10.0.0.1,18804,2284,512,TCP 
h9,10.0.0.1,45365,16961,512,TCP 
h10,10.0.0.1,20450,13694,512,TCP 
h11,10.0.0.1,52021,8053,512,TCP 
h12,10.0.0.1,30089,10450,512,TCP 
h13,10.0.0.1,39107,11105,512,TCP 
h14,10.0.0.1,55850,17524,512,TCP 
h15,10.0.0.1,48307,1231,512,TCP 
h16,10.0.0.1,16534,11037,512,TCP Telnet
h17,10.0.0.1,54933,17212,512,TCP Telnet
h18,10.0.0.1,21339,3848,512,TCP Telnet
h19,10.0.0.1,49537,15384,512,TCP 
h20,10.0.0.1,15205,15376,512,TCP 
h21,10.0.0.1,19938,1196,512,TCP 
h22,10.0.0.1,58977,9071,512,TCP Telnet
h23,10.0.0.1,28559,6727,512,TCP Telnet
h24,10.0.0.1,23539,15302,512,TCP 
h25,10.0.0.1,63146,5375,512,TCP 
h26,10.0.0.1,11722,15699,512,TCP Telnet
h27,10.0.0.1,46026,14093,512,TCP 
h28,10.0.0.1,38534,18810,512,TCP Telnet
h29,10.0.0.1,56098,1428,512,TCP Telnet
h30,10.0.0.1,63258,4062,512,TCP Telnet
h31,10.0.0.1,46071,6226,512,TCP 
h32,10.0.0.1,57516,13020,512,TCP 
h33,10.0.0.1,34545,15044,512,TCP 
h34,10.0.0.1,58936,11842,512,TCP Telnet
h35,10.0.0.1,12083,16963,512,TCP Telnet
h36,10.0.0.1,57966,10668,512,TCP Telnet
h37,10.0.0.1,24809,3464,512,TCP 
h38,10.0.0.1,33917,3890,512,TCP 
h39,10.0.0.1,63536,1586,512,TCP Telnet
h40,10.0.0.1,59486,10008,512,TCP Telnet
