host,IP
h1,10.0.0.1/8
h2,10.80.181.237/8
h3,10.36.93.95/8
h4,10.54.15.162/8
h5,10.97.168.210/8
h6,10.73.138.22/8
h7,10.92.13.219/8
h8,10.141.253.54/8
h9,10.207.11.100/8
h10,10.70.208.181/8
h11,10.49.242.88/8
h12,10.153.162.185/8
h13,10.172.248.199/8
h14,10.25.227.196/8
h15,10.20.186.254/8
h16,10.202.29.119/8
h17,10.147.209.121/8
h18,10.165.139.65/8
h19,10.210.156.201/8
h20,10.220.248.75/8
h21,10.206.201.205/8
h22,10.125.74.214/8
h23,10.94.164.14/8
h24,10.123.150.49/8
h25,10.188.23.43/8
h26,10.101.59.40/8
h27,10.195.148.142/8
h28,10.51.87.148/8
h29,10.136.180.141/8
h30,10.42.13.190/8
h31,10.181.206.118/8
h32,10.178.108.49/8
h33,10.186.121.40/8
h34,10.185.128.114/8
h35,10.63.164.128/8
h36,10.70.228.174/8
h37,10.51.179.129/8
h38,10.40.165.79/8
h39,10.207.55.134/8
h40,10.161.183.96/8
