host,serverIP,port,duration,size,proto
h2,10.0.0.1,39034,17613,512,TCP 
h3,10.0.0.1,60469,12184,512,TCP 
h4,10.0.0.1,59960,11089,512,TCP 
h5,10.0.0.1,56482,5260,512,TCP Telnet
h6,10.0.0.1,51856,14187,512,TCP Telnet
h7,10.0.0.1,31423,18207,512,TCP Telnet
h8,10.0.0.1,27601,14996,512,TCP Telnet
h9,10.0.0.1,30685,9030,512,TCP Telnet
h10,10.0.0.1,41472,19093,512,TCP 
h11,10.0.0.1,27415,1657,512,TCP 
h12,10.0.0.1,11079,4804,512,TCP Telnet
h13,10.0.0.1,46896,1335,512,TCP 
h14,10.0.0.1,34977,7851,512,TCP Telnet
h15,10.0.0.1,35686,13529,512,TCP Telnet
h16,10.0.0.1,19752,11050,512,TCP Telnet
h17,10.0.0.1,39809,1969,512,TCP 
h18,10.0.0.1,65315,9828,512,TCP Telnet
h19,10.0.0.1,14777,3367,512,TCP 
h20,10.0.0.1,24931,9670,512,TCP Telnet
h21,10.0.0.1,31815,13831,512,TCP Telnet
h22,10.0.0.1,44968,15894,512,TCP Telnet
h23,10.0.0.1,54557,5760,512,TCP Telnet
h24,10.0.0.1,45997,3427,512,TCP Telnet
h25,10.0.0.1,49359,14215,512,TCP Telnet
h26,10.0.0.1,21519,1116,512,TCP Telnet
h27,10.0.0.1,43627,10938,512,TCP Telnet
h28,10.0.0.1,26784,11631,512,TCP Telnet
h29,10.0.0.1,13059,8291,512,TCP Telnet
h30,10.0.0.1,27631,9446,512,TCP 
h31,10.0.0.1,19458,2255,512,TCP Telnet
h32,10.0.0.1,65091,1336,512,TCP Telnet
h33,10.0.0.1,20515,16962,512,TCP Telnet
h34,10.0.0.1,44395,7772,512,TCP 
h35,10.0.0.1,63174,5521,512,TCP Telnet
h36,10.0.0.1,15728,4593,512,TCP 
h37,10.0.0.1,12011,2857,512,TCP 
h38,10.0.0.1,18711,18765,512,TCP Telnet
h39,10.0.0.1,19643,15356,512,TCP Telnet
h40,10.0.0.1,14706,15605,512,TCP 
