host,IP
h1,10.0.0.1/8
h2,10.116.87.103/8
h3,10.177.159.231/8
h4,10.36.242.36/8
h5,10.66.65.140/8
h6,10.199.13.236/8
h7,10.153.162.185/8
h8,10.125.74.214/8
h9,10.186.69.137/8
h10,10.248.83.108/8
h11,10.228.171.176/8
h12,10.180.164.50/8
h13,10.70.1.153/8
h14,10.10.8.121/8
h15,10.94.164.14/8
h16,10.36.93.95/8
h17,10.238.71.16/8
h18,10.204.16.128/8
h19,10.248.146.8/8
h20,10.195.198.12/8
h21,10.70.208.181/8
h22,10.206.201.205/8
h23,10.239.144.159/8
h24,10.63.164.128/8
h25,10.11.116.19/8
h26,10.21.66.187/8
h27,10.207.55.134/8
h28,10.186.121.40/8
h29,10.118.14.134/8
h30,10.40.165.79/8
h31,10.111.195.107/8
h32,10.178.108.49/8
h33,10.184.53.19/8
h34,10.190.158.88/8
h35,10.79.214.35/8
h36,10.136.180.141/8
h37,10.231.77.238/8
h38,10.49.242.88/8
h39,10.70.228.174/8
h40,10.38.86.236/8
