host,serverIP,port,duration,size,proto
h2,10.0.0.1,22194,4064,512,TCP 
h3,10.0.0.1,64410,9819,512,TCP Telnet
h4,10.0.0.1,63911,2512,512,TCP 
h5,10.0.0.1,48463,15494,512,TCP Telnet
h6,10.0.0.1,56451,12848,512,TCP Telnet
h7,10.0.0.1,21050,5511,512,TCP 
h8,10.0.0.1,61406,15638,512,TCP Telnet
h9,10.0.0.1,37917,8757,512,TCP 
h10,10.0.0.1,65290,5002,512,TCP 
h11,10.0.0.1,37060,6925,512,TCP 
h12,10.0.0.1,30049,19829,512,TCP 
h13,10.0.0.1,57259,9184,512,TCP 
h14,10.0.0.1,35264,9280,512,TCP 
h15,10.0.0.1,12620,10069,512,TCP 
h16,10.0.0.1,24992,17032,512,TCP 
h17,10.0.0.1,25275,2830,512,TCP Telnet
h18,10.0.0.1,24986,5317,512,TCP 
h19,10.0.0.1,22877,4739,512,TCP Telnet
h20,10.0.0.1,32657,17770,512,TCP 
h21,10.0.0.1,37400,5975,512,TCP 
h22,10.0.0.1,18664,1270,512,TCP Telnet
h23,10.0.0.1,22632,6376,512,TCP 
h24,10.0.0.1,42816,6822,512,TCP 
h25,10.0.0.1,19395,5655,512,TCP Telnet
h26,10.0.0.1,15786,16935,512,TCP 
h27,10.0.0.1,39286,12607,512,TCP Telnet
h28,10.0.0.1,30575,2049,512,TCP 
h29,10.0.0.1,22132,17893,512,TCP Telnet
h30,10.0.0.1,37839,2368,512,TCP Telnet
h31,10.0.0.1,20476,9738,512,TCP 
h32,10.0.0.1,22643,13843,512,TCP 
h33,10.0.0.1,17143,9538,512,TCP Telnet
h34,10.0.0.1,43850,19705,512,TCP 
h35,10.0.0.1,24586,8191,512,TCP Telnet
h36,10.0.0.1,39171,2419,512,TCP 
h37,10.0.0.1,52905,4732,512,TCP Telnet
h38,10.0.0.1,63079,18244,512,TCP Telnet
h39,10.0.0.1,18165,2766,512,TCP 
h40,10.0.0.1,29712,9306,512,TCP 
