host,serverIP,port,duration,size,proto
h2,10.0.0.1,42116,11728,512,TCP 
h3,10.0.0.1,62042,5260,512,TCP 
h4,10.0.0.1,49788,2589,512,TCP Telnet
h5,10.0.0.1,48940,16461,512,TCP 
h6,10.0.0.1,50567,4696,512,TCP Telnet
h7,10.0.0.1,43070,13001,512,TCP 
h8,10.0.0.1,32709,16269,512,TCP Telnet
h9,10.0.0.1,45262,5088,512,TCP 
h10,10.0.0.1,43413,10968,512,TCP 
h11,10.0.0.1,32412,8849,512,TCP Telnet
h12,10.0.0.1,19069,18632,512,TCP Telnet
h13,10.0.0.1,19777,6823,512,TCP Telnet
h14,10.0.0.1,13349,4463,512,TCP Telnet
h15,10.0.0.1,32220,16988,512,TCP 
h16,10.0.0.1,63021,4635,512,TCP 
h17,10.0.0.1,43274,6281,512,TCP 
h18,10.0.0.1,64409,10207,512,TCP Telnet
h19,10.0.0.1,19636,12506,512,TCP Telnet
h20,10.0.0.1,57348,17058,512,TCP 
