host,serverIP,port,duration,size,proto
h2,10.0.0.1,41128,1454,512,TCP 
h3,10.0.0.1,19975,18377,512,TCP 
h4,10.0.0.1,40958,12688,512,TCP Telnet
h5,10.0.0.1,10372,4833,512,TCP Telnet
h6,10.0.0.1,21846,10864,512,TCP Telnet
h7,10.0.0.1,13089,10896,512,TCP 
h8,10.0.0.1,14313,14771,512,TCP 
h9,10.0.0.1,41832,17238,512,TCP 
h10,10.0.0.1,41242,11504,512,TCP 
h11,10.0.0.1,30633,19578,512,TCP Telnet
h12,10.0.0.1,61169,1459,512,TCP 
h13,10.0.0.1,35126,18063,512,TCP Telnet
h14,10.0.0.1,51854,15705,512,TCP 
h15,10.0.0.1,47139,12755,512,TCP Telnet
h16,10.0.0.1,46255,10215,512,TCP 
h17,10.0.0.1,50740,11325,512,TCP Telnet
h18,10.0.0.1,31047,19598,512,TCP Telnet
h19,10.0.0.1,29940,18945,512,TCP 
h20,10.0.0.1,64030,1636,512,TCP Telnet
