host,serverIP,port,duration,size,proto
h2,10.0.0.1,32275,9473,512,TCP Telnet
h3,10.0.0.1,20466,2264,512,TCP Telnet
h4,10.0.0.1,30847,4191,512,TCP Telnet
h5,10.0.0.1,43386,7523,512,TCP Telnet
h6,10.0.0.1,30101,11017,512,TCP Telnet
h7,10.0.0.1,47620,16635,512,TCP 
h8,10.0.0.1,56202,15976,512,TCP Telnet
h9,10.0.0.1,40069,19048,512,TCP 
h10,10.0.0.1,42197,14136,512,TCP Telnet
h11,10.0.0.1,16515,19800,512,TCP Telnet
h12,10.0.0.1,64826,5297,512,TCP Telnet
h13,10.0.0.1,55448,15453,512,TCP 
h14,10.0.0.1,13931,15994,512,TCP 
h15,10.0.0.1,57894,17466,512,TCP Telnet
h16,10.0.0.1,60975,12795,512,TCP 
h17,10.0.0.1,45428,10894,512,TCP Telnet
h18,10.0.0.1,25433,5684,512,TCP 
h19,10.0.0.1,38255,3877,512,TCP 
h20,10.0.0.1,63790,14691,512,TCP Telnet
