host,serverIP,port,duration,size,proto
h2,10.0.0.1,39869,1753,512,TCP 
h3,10.0.0.1,12801,19947,512,TCP 
h4,10.0.0.1,43758,13483,512,TCP 
h5,10.0.0.1,17591,17204,512,TCP Telnet
h6,10.0.0.1,59863,17412,512,TCP Telnet
h7,10.0.0.1,27976,15990,512,TCP Telnet
h8,10.0.0.1,15772,7259,512,TCP 
h9,10.0.0.1,65306,7162,512,TCP 
h10,10.0.0.1,49938,12317,512,TCP 
h11,10.0.0.1,53438,17459,512,TCP 
h12,10.0.0.1,51440,19449,512,TCP Telnet
h13,10.0.0.1,54376,1526,512,TCP 
h14,10.0.0.1,24050,16421,512,TCP 
h15,10.0.0.1,44458,18729,512,TCP 
h16,10.0.0.1,11273,1258,512,TCP 
h17,10.0.0.1,29216,14624,512,TCP 
h18,10.0.0.1,36089,3808,512,TCP 
h19,10.0.0.1,48857,14814,512,TCP Telnet
h20,10.0.0.1,50029,15313,512,TCP Telnet
h21,10.0.0.1,57288,1400,512,TCP 
h22,10.0.0.1,20490,1949,512,TCP Telnet
h23,10.0.0.1,33447,3451,512,TCP Telnet
h24,10.0.0.1,56683,11854,512,TCP 
h25,10.0.0.1,13677,9384,512,TCP Telnet
h26,10.0.0.1,38591,18270,512,TCP 
h27,10.0.0.1,10694,18775,512,TCP Telnet
h28,10.0.0.1,48391,6623,512,TCP Telnet
h29,10.0.0.1,29736,2535,512,TCP 
h30,10.0.0.1,14258,7801,512,TCP Telnet
h31,10.0.0.1,45699,11931,512,TCP Telnet
h32,10.0.0.1,44213,6580,512,TCP 
h33,10.0.0.1,48291,16483,512,TCP Telnet
h34,10.0.0.1,29228,14828,512,TCP Telnet
h35,10.0.0.1,13761,11623,512,TCP Telnet
h36,10.0.0.1,51528,3890,512,TCP 
h37,10.0.0.1,23804,15478,512,TCP 
h38,10.0.0.1,48925,18971,512,TCP 
h39,10.0.0.1,60706,14017,512,TCP 
h40,10.0.0.1,41460,9904,512,TCP Telnet
